Key,Id,Shared Comments,English (United States)(en-US),English (United States)(en-US) Comments,Korean (South Korea)(ko-KR),Korean (South Korea)(ko-KR) Comments
ch1 title,1.64448E+11,,DAY 1 : Words,,"제 1장, 언어",
ch2 title,,,DAY 2 : Holes,,"제 2장, 결핍",
ch3 title,,,DAY 3 : Faces,,"제 3장, 얼굴들",
ch4 title,,,DAY 4 : The Past,,"제 4장, 과거",
ch5 title,,,DAY 5 : Silence,,"제 5장, 허망",
ch6 title,,,DAY 6 : Us,,"제 6장, 우리",
ch7 title,,,DAY 7 : Comedy,,"제 7장, 코미디",
ch8 title,,,DAY 8 : Twin,,"제 8장, 쌍둥이",
ch9 title,,,DAY 9 : Gone,,"제 9장, 사라지는 것들",
ch10 title,,,DAY 10 : Walls,,"제 10장, 벽",
ch11 title,,,DAY 11 : Eyes Closed,,"제 11장, 환상",
ch12 title,,,DAY 12 : Abyss,,"제 12장, 심연",
ch13 title,,,DAY 13 : What Remains,,"제 13장, 남는 것들",
ch14 title,,,DAY 14 : Black,,"제 14장, 검정",
ch1 loading,,,Dot's 'eyeballs' are flat. They are mere chalk marks\nthat took on the role of visual organs.,,뭉치의 '눈알'은 평평하다. 그것은 얼떨결에 시각 기관의 역할을 수행하게 된 분필 자국일 뿐이기 때문이다.,
ch2 loading,,,"Dot's heart colors, but how?: Would splitting it in half\nspill the secrets, or is there more to the tale?",,"뭉치의 심장 색은 어떻게 채색되는가? 그의 몸을 반으로 가르면 알게 될 수도 있지만, 여전히 모를 수도 있다.",
ch3 loading,,,"Once you stumble upon a hidden conversation, its cover art gets a splash of color.\nCheck it out in the ""Daily Progress"" section.",,숨겨진 대화를 발견하면 해당 대화의 표지 그림이 채색된다. '하루 진행도'에서 확인해 볼 것.,
ch4 loading,,,"When night falls, the Moon transmitter lights up.\nTune in to their channel for lunar chit-chats.",,어두워진 밤이면 달나라 송신기가 발광한다. 달에서 주고받는 대화가 궁금하다면 그들의 채널을 엿들어 보기.,
ch5 loading,,,"Skip time while Dot is asleep,\nand you'll catch the Moon beings discussing Dot's day.",,"뭉치가 잠든 동안 시간을 스킵할 경우, 달의 이들이 뭉치의 하루를 보며 나눈 대화를 확인할 수 있다.",
