Key,English (United States)(en-US),Korean (South Korea)(ko-KR)
M14_L0001,<nickname>! It’s a new day!,<nickname>! 새로운 하루야!
M14_L0002,Look who’s sounding lively today!,"뭉치, 오늘따라 인사가 당차네!"
M14_L0003,"Yes, I’ve decided to be\nlively for today. I have to.","응, 당차게 보내기로 마음 먹은\n하루거든. 오늘만큼은. 그래야만 해."
M14_L0004,(I wonder if Dot’s scared...)|(Maybe this is good...),"(뭉치, 무서운 걸까...)|(다행이라면 다행인 걸까...)"
M14_L0005,Dot... You sound scared.\nI guess it’s only natural.,뭉치... 당연하겠지만 여전히 무서운 거구나.
M14_L0006,Yes... I am scared. Death has\nbeen on my mind all night long.,응... 무서워. 어젯밤 내내\n죽음에 대해 생각했을 만큼.
M14_L0007,... <nickname>.,"그치만 <nickname>,"
M14_L0008,The fact that I’ll soon dissolve\ninto death may be important.,내가 뿔뿔이 와해되어 죽게\n될 것이라는 사실도 중요하지만.
M14_L0009,"But what matters more\nis that I’ll brave it,","그 사실을 당차게 받아들이고,"
M14_L0010,"and choose to face my fears,\nstanding tall and defiant.",아주 무서워하면서도 끝까지 내 몸을\n펴고 있겠다 선택한 것도 중요하지.
M14_L0011,Today I want to tell you\nabout this choice I made.,오늘은 이 선택에 대한 이야기를 들려 주려 해.
M14_L0012,A fantastic tale of rebellion\nagainst my looming death!,"죽음을 앞두고도 당차게\n인사하길 선택한, 나의 근사한 반항담 말이야!"
M14_L0013,"Yes, I’m ready!","응, 준비됐어!"
M14_L0014,"Now... close your eyes.\nAnd picture if you will,",그렇다면... 이제 나와 함께 상상해 줄래?
M14_L0015,a universe bursting with colors.,아주 색이 많은 우주를.
M14_L0016,"What about your death,\nmy dearest human?",내가 가장 사랑한 인간인 너의 죽음은 어떨까?
M14_L0017,"Will it be decades from now,\non a soft white bed?","몇십 년 후, 어느 폭신하고\n새하얀 침대 위에서 늙어 죽을까?"
M14_L0018,Like drifting off to sleep...|Like an unexpected bang...,잠에 들 듯이 스르르...|덜컥 하고 순식간에...
M14_L0019,"Perhaps a grave illness will\ntake you twenty years too soon,","큰 병에 걸려 시름시름 앓다 예상보다\n이십 년은 일찍 세상을 뜨게 될 수도 있고,"
M14_L0020,"or worse... some unforeseen tragedy:\na car crash, a fall, a split second’s mistake","부디 그러지 않길 빌겠지만...\n지금으로부터 이 년 후, 어쩌면 이 주 후"
M14_L0021,"ending your life in a couple years,\nor even weeks.",예측 불가했던 비극적인\n사고에 휘말리게 될지도 모르지.
M14_L0022,A pathetic end to all my struggles...|It’s scary how the future is never promised.,아등바등 살아간 것치곤 참 우스운 결말이네.|미래를 결코 장담할 수 없다는 건 참 두려운 일이구나.
M14_L0023,"Before saying goodbye to this world,\nI just wanted to ask you one thing.","이 세계와의 작별을 코앞에 둔 나는,\n이제 단지 너에게 묻고 싶은 것 같아."
M14_L0024,"Despite it all, <nickname>,",너는 어때?
M14_L0025,do you still love this world?,이 모든 것에도 불구하고 이 세계를 사랑해?
M14_L0026,"This chaotic, cruel, meaningless\nworld you were born into?","네가 태어난 이 혼란스럽고,\n잔혹하고, 무의미한 세계를?"
M14_L0027,Even your fate that promises\nan inevitable death?,"기필코 죽게 될, <nickname>,\n너의 가련한 운명을?"
M14_L0028,"(.... You fall silent, thinking.\nDo I love this world?)",(.... 고민하며 침묵한다.\n나는 이 세계를 사랑하는가?)
M14_L0029,"(The answer doesn’t come easily.) |Despite it all, yes. And so I don’t want to die.","(여전히 답을 내리기 어렵다.)|응, 그럼에도 사랑해. 그렇기에 죽고 싶지 않아."
M14_L0030,......,......
M14_L0031,"And I’d like to ask you, Dot.",그러면 나도... 뭉치 너에게 묻고 싶어.
M14_L0032,"In spite of everything,\ncan you love it too?","이 모든 것에도 불구하고,\n너는 어때? 사랑할 수 있어?"
M14_L0033,Your untimely fate...,너무 성급하게 허공으로\n사라져 버리게 된 너의 운명과...
M14_L0034,And this indifferent world\nthat allowed it?,그것을 용인한 이 무심한 세계를?
M14_L0035,......,......
