Key,Korean (South Korea)(ko-KR),English (United States)(en-US)
MR0101_L001,이렇게 하면....,And now...
MR0101_L002,"아, 성공이군. 다들 와 봐.","Ah, success. Gather around."
MR0101_L003,우와아아아아!,Whoaaaa.
MR0101_L004,우와아아아아아아아아아아아!,WHOOOOOAAAAAAA!
MR0101_L005,"큼큼, 안녕, 인간. 나는 레드야.","Ahem. Hello, human. Red here."
MR0101_L006,달에 있는 모두가 인간을 사랑하지!,Everyone on the Moon loves humans!
MR0101_L007,그리고 나도! 인간을! 사랑한다!,And so! Do! I!
MR0101_L008,(우당탕 하는 소리.),(A crash.)
MR0101_L009,아야!,Ouch!
MR0101_L010,진정. 인간 놀람. 그리고\n시끄러워. 귀 먹먹하다.,Calm down. Human startled.\nAnd too loud. Ears ringing.
MR0101_L011,~♫♮♭♩♫&?,~♫♮♭♩♫&?
MR0101_L012,"응, 아직 오류가 많아서 언제\n신호가 끊어질지 모름.",Yes. Numerous errors\nmaking signal unsteady.
MR0101_L013,"빨리 인사, 첼로.\n내가 통역한다.","Say hello, Cello.\nI will translate."
MR0101_L014,~♫♮ (치지직-) ♩♫!!,~♫♮ (Zzz-) ♩♫!!
MR0101_L015,잠시만. (치직) 끊기.... (치익),Wait. (Zz) Breaking.... (Zzzz)
MR0101_L016,♩♫####...?!,♩♫####...?!
MR0102_L001,♩♫♮……,♩♫♮……
MR0102_L002,♩♩......,♩♩......
MR0102_L003,♩♩♩♫♮......,♩♩♩♫♮......
MR0102_L004,첫 번째 프로토타입이라\n오류가 많음.,"First prototype, prone\nto malfunction."
MR0102_L005,켜지고 꺼지는 타이밍도 설정이\n안 되고. 어쩔 수 없음.,Settings for turning on\nand off not yet an option.
MR0102_L006,"지금 슬픔은 견디고, 다음에\n켜지면 제일 먼저 인사해.",No need to be sad. Be\nthe first to say hello next.
MR0102_L007,♩♫♮ !!,♩♫♮ !!
MR0102_L008,첼로 경의 인삿말 궁금한걸.,Wonder how you’ll pull it off.
MR0102_L009,"하아아아아아음. 으, 시간이\n언제 이렇게. 일하기 싫어.","Yaaaawn. Ugh, look at the\ntime. I don’t wanna work."
MR0102_L010,너희는 일할 때 무슨\n생각 하면서 청소해?,What do you guys think of\nwhen you work?
MR0102_L011,뭘 생각해. 그냥 하는 거지.,I do not think. I do.
MR0102_L012,~♫♮♭♩,~♫♮♭♩
MR0102_L013,노래를 부른다고?,Sing?
MR0102_L014,♮♭♫~~,♮♭♫~~
MR0102_L015,"맞아, 첼로 경이 노래하면 내가\n자막을 만들어서 같이 불러.","That’s right. When Sir Cello\nhums, I make up the lyrics."
MR0102_L016,이렇게!,Like this!
MR0102_L017,해괴한 호수는 차오른다!\n퍼 담고 굳히고 긁어 내자!,The filthy lake is swelling high!\nScoop it up and scrape it dry!
MR0102_L018,짝짝이 팔다리 비틀어진 등허리!\n달 뒤편의 아래의 구석을 지키는!,"Uneven arms, twisted back!\nNo room here to cut some slack!"
MR0102_L019,우리는 달나라 청소부들!,We are the cleeeaners\nof the Moon!
MR0102_L020,아. 잠시만. 켜진 것\n같음. 불 들어오네.,Ah. Wait. Seems to be on.\nLight is on.
MR0102_L021,"첼로 경, 인사해.","Say hello, Sir Cello."
MR0102_L022,첼로 경! 인사해!! 얼른!,Sir Cello! Say hi!!
MR0102_L023,~♫♮♭,~♫♮♭
MR0102_L024,♩♫!! (치지직-),♩♫!! (Zzz-)
MR0102_L025,"(치직) 아, 또 (치이익)","(Zz) Not again, (Zzzz)"
MR0102_L026,♬ ######!!!,♬ ######!!!
MR0201_L001,으흠. (신나는 허밍이 들린다),Hmm. (Hums excitely)
MR0201_L002,흐흐흠.,Hmm-hmm.
MR0201_L003,흐허어워어음.,Hmm-mm-hmm-mm.
MR0201_L004,"인간! 아아, 아.\n크흠, 여기는 레드.","Human! Ah, ahem.\nRed here."
MR0201_L005,(경쾌하게 탁탁거리는 발걸음.),(Pattering footsteps.)
MR0201_L006,송신기가 켜지자마자\n에디슨 몰래 훔쳐 왔어.,I stole the transmitter while\nEdison had her back turned.
MR0201_L007,달나라를 보여 주고 싶어서.\n빨리! 시간이 없어!,I wanted to show you around.\nQuick! We don’t have time!
MR0201_L008,우선 저어기 (발걸음이 탁탁탁\n빨라진다) 보이는 건 꿈 공장이야!,First there’s (footsteps quicken)\nthe Dream Factory.
MR0201_L009,정말 아름답지? 대부분 인간의\n눈에는 보이지 않지만.,"Beautiful, right? It’s usually\ninvisible to the human eye."
MR0201_L010,하지만 뭉치를 볼 수 있다면\n이 공장도 볼 수 있을걸?,"But if you can see Dot,\nI bet you can see it too."
MR0201_L011,저기 빛을 내며 날아다니는\n친구들은 달나방들이야.,Those sparky friends over\nthere are the Moon moths.
MR0201_L012,흐흐. 내 발밑엔 땅바닥...\n그리고 짠. 크레이터.,Hehe. And the ground under\nmy feet... and ta-da. The crater.
MR0201_L013,"검은 호수 같지? 다들 끔찍하다고\n싫어하지만, 난 뭐랄까,","Looks like a black lake, right?\nNo one likes it. But me?"
MR0201_L014,바라보고 있으면 이상하게\n마음이 편해진단 말이지.,"Well, looking at it somehow...\nsoothes me."
MR0201_L015,뭐 함?,What are you doing?
MR0201_L016,... !,... !
MR0201_L017,...,...
MR0201_L018,......,......
MR0201_L019,......,......
MR0201_L020,뭐 하긴? 인간한테 달나라\n구경 시켜 주고 있다.,What does it look like? I’m\nshowing the human around.
MR0201_L021,왜. 뭐!,What. What!
MR0201_L022,"뭐, 뭐, 뭐뭐! 어쩌라고!",What! Why are you\ngiving me that look!
MR0201_L023,무슨 구경.,Showing what.
MR0201_L024,공장이랑... 달나방이랑...\n땅바닥... 크레이터....,The Factory... the moths...\nthe ground... the craters...
MR0201_L025,"지구에선 달 뒤편이 안 보이니까,\n궁금하지 않을까 하고....",And I thought they’d like to see\nthe dark side of the Moon...
MR0201_L026,영상 정보는 송출 안 됨.,Visual information\ncannot be transmitted.
MR0201_L027,에? 거짓말!,What? You’re kidding!
MR0201_L028,내놔.,Hand it over.
MR0201_L029,(작은 한숨 소리) 아아. 싫어어.\n인간이랑 더 이야기할래.,(Sigh) Noooo. I wanna talk more.
MR0201_L030,떨어뜨리기라도 했으면 어쩔 뻔\n했음? 크레이터에 빠트렸으면?,And if you dropped it?\nIf it fell into a crater?
MR0201_L031,내놔.,Hand it over.
MR0201_L032,고장난 곳 없는지 봐야 하니까.,I need to check for damages.
MR0201_L033,(작은 한숨 소리),(Small sigh)
MR0202_L001,"에디슨, 첼로 경!","Hey Edison, Sir Cello!"
MR0202_L002,"아니, 글쎄, 동쪽 구역 청소를\n맡은 치커리 영감이 말이야.",You know Old Man Chicory\nthat cleans the east section?
MR0202_L003,어제 ‘귀신’을 봤대.,Says he saw a GHOST\nyesterday.
MR0202_L004,귀신은 허상임.,Ghosts are illusions.
MR0202_L005,또는 측두엽 뇌파\n변화의 일시적 현상.,Or temporary changes in\ntemporal lobe brain waves.
