Key,English (United States)(en-US),Korean (South Korea)(ko-KR)
PR1_L0001,If only I could tell Red that it’s all real.,레드에게 정말로 존재한다고 말해 주고파.
PR1_L0002,That my chances live\nand breathe somewhere.,나의 가능성이 어딘가에서 살아 숨쉬고 있다고.
PR1_L0003,"That dreams soar among clouds,\nmelt through frost.","꿈꾸며 구름 속을 비행하려 한다고,\n꿈꾸며 성에를 녹이려 한다고."
PR1_L0004,So I am a dream who dreams.,그러면 나는 꿈을 꾸는 꿈.
PR1_L0005,For that someone who\nwill want me as their dream…,나를 ‘꿈’으로 삼아 줄 사람을 위해서…
PR1_L0006,I can dream of being a dream!,나는 꿈이 되는 꿈을 꿀 수 있다고!
PR2_L0001,Even if Ring Boy didn’t\nsee himself in the mirror,반지 소년이 거울에 비치지 않아도
PR2_L0002,or couldn’t press his hand\nto his empty cheek,손바닥을 빈 뺨에 가져다 댈 수 없어도
PR2_L0003,his emptiness would have swallowed\neverything beyond the stone wall.,그의 허점은 담 너머에 있는 모든 것을 빨아들였을 거야.
PR2_L0004,This boy that searches his pockets\nand soldiers on is the same.,주머니를 더듬으며\n끝없이 나아가는 이 문학 소년도 같아.
PR2_L0005,"A steam train that runs forever,\npowered by the unknown.",소년은 정체 모를 연료로\n무한히 달려가는 기관차야.
PR3_L0001,You experience conflict and\ncontrast within yourselves.,너희는 너희 혼자서도\n상반과 대비를 겪을 수 있구나.
PR3_L0002,… Yet accept it all as ‘yourself?’,그럼에도 모든 걸 ‘나’라고\n품을 수가 있는 거야?
PR3_L0003,The contradictory human mind.\nTruly beautiful.,모순된 너희 인간은... 정말로 아름다워.
PR4_L0001,"In all my monochrome memories\nof the Moon, there’s music.",달에서의 흑백 기억 속엔\n늘 음악이 깔려 있어.
PR4_L0002,"It’s the voice of Sir Cello,\none which I’ll never hear again.",다시는 직접 들을 수 없는\n첼로 경의 목소리야.
PR4_L0003,Perhaps the cello melodies that\nfilled my little Moon to the brim,나의 작은 달나라를 울리던 첼로 선율이
PR4_L0004,"are destined to fade away into\nEarth’s beautiful, vivid racket.",지구의 아름답고 생동감 넘치는\n소음들과 뒤섞이면서 희석될지라도
PR4_L0005,"But I’ll always be here, on Earth,\ntrying my bestest to hold onto","나는 지구에서, 달의 흰빛 소리들을\n온 힘 다해 기억할 거야."
PR4_L0006,"the Moon’s pearly sound—\nthat dear, forever-lost hum.",다시 보고 들을 수 없기에\n그만큼 귀중한 소리를.
PR5_L0001,"수정되어야 함",수정되어야 함
PR6_L0001,"Without you, my corner would’ve\nbeen impossibly forlorn.",<nickname>…. 정말로 네가 없는\n모퉁이는 얼마나 적막했을까.
PR6_L0002,"Two can stick together, truly.","정말, 정말로 둘이라면\n뭉칠 수 있는 거였는데."
PR6_L0003,I feel ashamed not to have known that…,미처 몰랐던 내가 너무 부끄러워…
PR6_L0004,I’ll start over. Then you answer me\nwith “That’s how it is.”,내가 다시 해 볼게. 그럼 너는\n‘그렇고 말고’하고 대답해 주는 거야.
PR6_L0005,Okay? Okay…,준비됐어? 간다…
PR6_L0006,Us two can stick together!,우리 둘이라면 뭉칠 수 있어!
PR6_L0007,…!,…!
PR7_L0001,An empty cave that\nfollows the Hour of Lead…,납의 시간 뒤에 찾아오는 텅 빈 동굴...
PR7_L0002,Quartz contentment grows\nregardless in that desolate space.,그 공허한 자리에 자라나는 게\n무심한 석영.
PR7_L0003,Not a pearl-filled box or a tree\ndecorated with colorful garlands.,"진주가 든 상자도, 색색깔 가랜드로\n장식된 축제 트리도 아니야."
PR7_L0004,She lived. That’s all there\nwas to it.,살아 남았어. 단지 그뿐이겠어.
PR7_L0005,But perhaps sometimes\nit’s enough to remember.,하지만 기억한다는 걸로\n충분한 것도 있는 모양이야.
PR8_L0001,Ever tried a lemon\npreserved in sugar?,설탕에 절인 레몬을\n먹어 본 적 있어?
PR8_L0002,"I pictured the taste. Hmm, aren’t\nlemons refreshing enough as they are?","상상해 봤어. 음, 절이지 않아도\n충분히 상큼하지 않으려나?"
PR8_L0003,A bumpy kind of yellow.\nA collection of water drops.,오돌토돌한 샛노랑.\n투명한 물방울들의 집합.
