Key,English (United States)(en-US),Korean (South Korea)(ko-KR)
push_title_watching_2,Dot goes outside.,"뭉치, 외출하다"
push_watching_2,I hope Dot has a safe journey home... Perhaps I'll spy on them with my binoculars.,오늘도 무사히 돌아올 수 있을런지. 쌍안경으로 뭉치를 구경해 볼까?
push_title_watching_3,Thump... Thump... Splat.,콩... 콩... 철퍽
push_watching_3,"I'm going to observe some humans. Meanwhile, please look over my mold friend's mumblings!",인간들을 구경하고 올게. 그동안 내 친구 곰팡이의 혼잣말을 지켜봐 줘!
push_title_watching_4,"Today, I failed to go outside.",오늘은 나가지 못했어.
push_watching_4,"I don't want you ever to see me in my melted state. Please, don't open the door.",내 녹아 버린 몸을 너는 보지 않았으면 좋겠어. 절대 문을 열지 말아 줘.
push_title_watching_5,Maybe I'll lose my way?,길을 잃어버릴지도?
push_watching_5,The Earth is too far and wide to find Dot. Will Dot be... Okay?,뭉치를 되찾기에 지구는 너무 넓다. 뭉치... 괜찮을까?
push_title_watching_6,A monster who couldn't go outside.,외출하지 못한 괴물
push_watching_6,"My grey-brown corner is a fortress of contemplation. Leave me be in my melted state, just for a while.","나의 회갈색 모퉁이는 사념의 요새야. 잠시만, 잠시만 녹아 있을게."
push_title_watching_7,A black blob falling out the window?,창밖으로 떨어지는 검은 덩어리?
push_watching_7,"I left a little note. I'll be back soon, <nickname>!","작은 쪽지를 남겨 두었어. 금방 다녀올게, <nickname>!"
push_title_watching_8,Could it be... Dot?,설마... 뭉치?
push_watching_8,Breaking news: Several sightings of an unidentified black monster near the local elementary school have been reported.,"인근 초등학교 등굣길, 몇몇 학생들이 정체불명의 검은 괴물을 포착했다는 소식입니다."
push_title_watching_9,......,......
push_watching_9,"Um, by any chance, have you done what's called 'cleaning'?","혹시 너, 청소라는 걸 했어? 에이... 설마. 설마. 아니지?"
push_title_watching_10,I feel a bit strange today.,조금 이상한 기분이 들어.
push_watching_10,I have a bad feeling... But I should go anyway.,밖에 나가면 안 될 것 같은 예감... 그래도 가 봐야겠지.
push_title_watching_11,My footprints are melting.,발자국이 녹아.
push_watching_11,Disappearing without a trace is a bit lonely.,흔적도 없이 사라지는 건 조금 외로운 일이야.
push_title_watching_12,Fog. Thick fog.,안개다. 뿌연 안개.
push_watching_12,I can't see ahead... But I memorized the way home.,앞이 안 보여도 괜찮아. 집으로 가는 길은 외웠거든.
push_title_watching_13,Today feels extra far.,오늘은 유난히 먼 길.
push_watching_13,I don't have legs. So why do they hurt?,다리가 없는데 왜 다리가 아픈 걸까?
push_title_watching_14,My last walk will be in my mind.,마지막 산책은 머릿속으로 할래.
push_watching_14,"When I close my eyes, I see the universe.",눈을 감으면 우주가 보이거든.
push_title_A_ch1,"You know, I have something to tell you!","있잖아, 네게 할 말이 있어!"
push_A_ch1,"That is... That is... That is... Uh-oh, what's happening to me?","그건..., 그건..., 그건.... 어어, 나 왜 이러지?"
push_title_A_ch2,"This is serious. If nothing changes, it will all burn down.",큰일이야. 이러다간 다 타 버리고 말겠어.
push_A_ch2,There was a colossal fire within him. How did it come to this?,마음속에 집채만 한 불길이 있는 사람을 봤어!
push_title_A_ch3,Choose your face.,당신의 얼굴을 선택하세요.
push_A_ch3,How do you fell about putting on this head today?,오늘은 이런 머리를 쓰면 어떨 것 같아?
push_title_A_ch4,The kind of day you want to stand under a metaphorical umbrella.,마음의 우산을 쓰고 싶은 날
push_A_ch4,Dot's eyes seem to disappear when they're feeling melancholy...,뭉치는 우울할 때면 눈이 사라지는 괴물인 것 같다...
push_title_A_ch5,"Will you come to the party? I know it's a bit late, but still!",파티에 와 줄 수 있겠어? 늦었지만!
push_A_ch5,Because I have to face the end of this festival you undoubtedly have put much effort into.,분명 공들여 준비했을 축제의 끝을 바라봐야 하니까.
push_title_A_ch6,[Unable to Connect],[연결 불가능]
push_A_ch6,I want to get to know you so much more than I do now!,네가 궁금해! 너와 더 가까워지고 싶어.
push_title_A_ch7,I've become a dustball.,먼지 투성이가 되어버렸어.
push_A_ch7,"It stings a bit, but maybe that's not all that bad?","따끔거리지만, 나쁘지 않을지도?"
push_title_A_ch8,Twins inside the esophagus.,식도 속의 쌍둥이
push_A_ch8,Something is squirming in their throat.,무언가 목구멍 밑에서 꿈틀거리고 있어.
push_title_A_ch9,Huh? What's going on?,어? 이게 무슨 일이야?
push_A_ch9,When's the last time you saw the mold?,곰팡이를 마지막으로 본 게 언제야?
push_title_A_ch10,Hello. Please hurry and shut this.,안녕. 서둘러 와서 이걸 닫아 줘.
push_A_ch10,Hello. Please hurry and shut this.,안녕. 서둘러 와서 이걸 닫아 줘.
push_title_A_ch11,What if you were to live in yesterday's dream forever?,어젯밤 그 꿈속에서 영원히 산다면?
push_A_ch11,I'm going to tell you a story about a dream that never disappears.,사라지지 않는 꿈의 이야기를 들려줄게!
push_title_A_ch12,I don't want you to come by today.,오늘은 네가 오지 않았으면 좋겠어.
push_A_ch12,I'll be in a state I don't want anyone to witness. (It's a lie.),들키기 싫은 모습을 하고 있을 테니까. (거짓말이야.)
push_title_A_ch13,After farewell remains...,이별의 끝에 남을 무언가는...
push_A_ch13,"A sparkling sadness, like shells swept up the beach by waves.",파도가 지나간 해변 위 조개껍데기처럼 빛나는 슬픔.
push_title_A_ch14,The day the last grain of sand drops.,마지막 모래 알갱이가 떨어지는 날.
push_A_ch14,Let's have the greatest farewell in the universe!,우주에서 가장 멋진 작별 인사를 나누자!
push_title_A6_ch1,I know I'm just a measly black monster.,검정 괴물인 내가 감히 너에게
push_A6_ch1,"But I want to tell you I love you. So I need you, right now!","사랑한다는 말을 꼭 해 보고 싶어. 그러니 지금, 네가 필요해!"
push_title_A6_ch2,Splat. (Rolling...) Splat. (Rolling...),철퍽. 데구르르... 철퍽. 데구르르...
push_A6_ch2,I'd like to stick to the wall a little better... Any ideas?,벽에 더 잘 매달리고 싶은데... 무슨 방법이 없을까?
push_title_A6_ch3,What do you think is inside the white hat?,하얀 모자 안에 무엇이 있을까?
push_A6_ch3,"With my chalk-drawn eyes, it only seems like a normal head.","분필 눈으로 보니, 평범한 머리로 보이기만 하는데 말야."
push_title_A6_ch4,It's something I can't ask Red myself...,레드에게 직접 물어볼 수는 없는 이야기야...
push_A6_ch4,So can you listen instead of me?,그러니 조금 들어줄 수 있겠어?
push_title_A6_ch5,You could die one day too?,너도 언젠가 죽을 수 있어?
push_A6_ch5,I'm not sure but... I thought it could be. Am I right?,잘 모르지만... 그럴 수도 있겠다는 생각이 들었어.
push_title_A6_ch6,[No Connection],[연결 신호 없음]
push_A6_ch6,Am I the only one longing?,그리움은 나 혼자만의 것일까?
push_title_A6_ch7,Dot turns into a great big dustball...,뭉치가 거대한 먼지로 변합니다...
push_A6_ch7,But it's really not so bad. Do you want to come check me out?,나쁘지 않아. 정말이야. 확인해 볼래?
push_title_A6_ch8,Spit it out. Spit it out.,뱉어. 뱉어. 뱉어.
push_A6_ch8,But I don't know how. Will you help me?,하지만 여전히 방법을 모르겠어. 도와 줄래?
push_title_A6_ch9,I can't find it anywhere!,어디에도 보이지 않아! 미칠 것 같아.
push_A6_ch9,Where did my precious friend 'disappear' to?,대체 어디로 '사라져 버린' 거야. 나의 소중한 친구.
push_title_A6_ch10,"Hello. Hurry, hurry, come and shut 'this'.",안녕. 서둘러 서둘러 와 와서 '이걸' 닫아줘.
push_A6_ch10,Please shut this for me? I'm begging you.,닫아 달라니까? 간곡한 부탁이야.
push_title_A6_ch11,"In certain dreams, you know...",어떤 꿈에선 말이야.
push_A6_ch11,"Someone you love is waiting. I'm not a 'someone', but I'm waiting for you too!","사랑하는 사람이 기다리고 있어. '사람'은 아니지만, 나도 널 기다려."
push_title_A6_ch12,That's okay. You don't have to come.,그래. 오지 않아도 괜찮아.
push_A6_ch12,The speed at which I'm melting doesn't seem that fast.,내가 녹아가는 속도는 그다지 빠르지 않은 것 같네.
push_title_A6_ch13,You know the big tree you can see from the window?,창가에 앉으면 보이는 커다란 나무 알지?
push_A6_ch13,Today I want to tell you a story about that tree.,오늘은 그 나무에 대한 이야기를 들려주려 해.
push_title_A6_ch14,I'm ready.,"나, 준비됐어."
push_A6_ch14,So I want to gaze beyond the world with you. Way beyond there.,그러니 너와 세상 너머를 바라보고 싶어. 저어기 너머를.
push_title_B_ch1,Dot oozes out from a pile of books...,뭉치가 책더미 속에서 흐물흐물 기어 나옵니다...
push_B_ch1,I've realized something about love.,"나, 사랑에 대하여 깨달은 게 있어."
push_title_B_ch2,Emptiness...,공백.
push_B_ch2,Some things grow emptier the more you try to fill them.,채우려 할수록 더 비어가는 것들이 있어.
push_title_B_ch3,Okay. I'm completely ready.,좋아. 완전히 준비됐어.
push_B_ch3,Let me observe your true self.,너의 본모습을 관찰할 수 있게 해줘.
push_title_B_ch4,Dot carefully calls for you...,뭉치가 조심스레 당신을 부릅니다...
