Key,Korean (South Korea)(ko-KR),English (United States)(en-US)
S1_L0001,뭉치의 눈에 우리의 뇌를 넣은 건 정말 잘한 일이야.,We did a good job putting\nour brains in Dot’s eyeballs.
S1_L0002,뭉치가 기압차 때문에 터지지 않았다는 걸 알 수 있었다! 안심이 돼.,We could see Dot didn’t\nexplode from the change in\natmospheric pressure! Phew.
S1_L0003,동의함.,“Phew” indeed.
S1_L0004,게다가 인간!!을 다시금 바라볼 수 있었어! 우리의 아름답고 멋진 인간들을 말이야.,"On top of that, we got\nto see our beautiful\nsplendid humans!! Again!!"
S1_L0005,역시 동의한다.,Indeed.
S1_L0006,~♫♮♭,~♫♮♭
S1_L0007,그러게. 뭉치가 한 명의 인간을 제외한 나머지 인간들에겐 보이지 않았어!,Huh. True. Only one human—\nand none of the rest—could see Dot!
S1_L0008,하지만 왜? 그러한 특성은 관찰되지 않았었는데?,But why? Such an attribute\nwas not previously observed.
S1_L0009,인간의 눈? 뭉치의 성분? 혹은 그저 작고 까맣기 때문?,Hm. The naked human eye?\nDot’s composition? Or simply because\nthey are small and black?
S1_L0010,♫♮ ♩♩♩♩!!,♫♮ ♩♩♩♩!!
S1_L0011,어! 그렇네! 드리미네슘 때문일 수도 있겠네!,Oh! Right! Maybe it’s\nbecause of Dreaminisium!
S1_L0012,...... 가장 유력한 가설인 듯. 폐기물의 구성 성분을 조사해 보겠음.,...... Highly possible.\nWill analyze the\ncomponents of the Filth.
S2_L0001,반지 소년은 그 꿈을 꾸고 일어나... 최악의 슬픈 아침을 보냈겠지.,Ring Boy must have woken up\nfrom that dream... and faced\nthe worst morning of his life.
S2_L0002,.......,.......
S2_L0003,나를 잡아먹는 나의 공허. 그것을 견뎌야만 한다니.,"A void that devours me,\none that’s mine. I can’t\nimagine having to live with it."
S2_L0004,나의 잘못이 아님에도... 그 벌은 나의 것이어야만 한다니.,Having to take the blame...\nwhen none of it is my fault.
S2_L0005,레드.,Red.
S2_L0006,그것은 해답 없는 인간 세상의 난제. 우리는 채 이해 못 하는 인간들의 이야기.,It is a problem with no answer\nthat stems from the human world.\nOne beyond our comprehension.
S2_L0007,그 자체로 아름다운 것이라 받아들이면 됨.,Accept that it is beautiful in itself.
