Key,Korean (South Korea)(ko-KR),English (United States)(en-US)
SD3_L0001,오늘은 하얀 모자가 눈에 띄는 멋진 사람을 만나고 왔어.,I met a person with a charming white hat.
SD3_L0002,어느 순간에는 사자처럼 용맹하며 무모했고,Brave and brash as a lion one moment
SD3_L0003,어느 순간에는 조용하고 신중한 철학자 같았지.,and quiet and prudent as a scholar the next.
SD3_L0004,"그래... 내가 본 '하얀 모자'는 매일 매일 다른 모습으로 살아가는 사람이었어.",Indeed. The White Hat had a different face day after day.
SD3_L0005,그러다 그녀가 타인과 다투는 소리를 들었어. 어쩌면 그녀의 친구였을까?,Then I heard her being confronted by someone... perhaps her friend?
SD3_L0006,네 속을 한 치도 모르겠어. 대체 네 본성이 뭐야? 뭐가 진짜인 거야!,You're someone different every day! Which one's the real you?
SD3_L0007,그 말을 들은 하얀 모자는 자신의 집으로 상대를 이끌었어.,Instead of answering... she led the person to her home.
SD3_L0008,둘은 집안 깊숙한 곳에 있던 거울 앞에 섰고... 하얀 모자는 그녀의 모자를 벗었지.,"They stood in front of a mirror. Then, slowly... the White Hat took off her hat."
SD3_L0009,그렇게 하얀 모자의 수많은 머리들이 드러났어.,And revealed her myriad heads.
SD3_L0010,"“모두가 진짜야!”" 그들은 자유롭게 포효하며 빙글빙글 돌아갔지!,“ALL are real!” they roared and whirled with abandon!
SD3_L0011,그녀의 친구는 겁에 질려 도망쳐 버렸고,The friend ran home in terror
SD3_L0012,그의 빈자리를 바라보는 그녀의 뒷모습은,and the White Hat now alone
SD3_L0013,왜인지 쓸쓸해 보였어.,seemed somehow sad.
