Key,English (United States)(en-US),Korean (South Korea)(ko-KR)
SD8_L0001,"In a house at the far end of the road, there lived a boy.",골목 구석 노란 지붕 집에는 한 아이가 살았어.
SD8_L0002,"The boy grasped at his chest and swallowed, rolling his eyes this way and that.","항상 가슴을 움켜쥐며 침을 삼키고, 눈을 도르륵도르륵 굴리던 아이가."
SD8_L0003,In his esophagus lived his twin brother.,그 아이의 식도 안에는 그의 쌍둥이 형이 살았어.
SD8_L0004,The brother that died while growing inside their mother.,어머니의 뱃속에서 함께 자라나다 죽어 버린 형이.
SD8_L0005,"It lived inside the boy, with eyes just like him that rolled this way and that.",아이와 닮은 눈을 도록도록 굴리며 식도 안에 살았어.
SD8_L0006,"Perhaps it was born on the child's seventh birthday, of their grandma's ominous words.","아마도 형은, 아이의 일곱 번째 생일날, 그들의 할머니가 한숨처럼 뱉은 말을 먹고 태어났을 거야."
SD8_L0007,"""Ate his brother to be born, that one did.""",“쯧… 사람 잡아먹고 태어난 놈.”
SD8_L0008,"""His own brother at that...""",“지 형을 잡아먹고….”
SD8_L0009,The words tore through the boy's fragile heart.,그 말은 아이의 연약한 가슴을 너무 쉬이 헤집었을 거야.
SD8_L0010,They seized him. Seized him with such a grip.,"아이를 움켜쥐었을 거야. 너무 세게 움켜쥔 나머지,"
SD8_L0011,That stifling belief pierced through the boy's heart and laid roots.,그 기이하고 퍽퍽한 믿음은 아이의 가슴을 꿰뚫고 뿌리 내렸을 거야.
SD8_L0012,"It branched out within,","그것은 아이의 안에서 가지를 뻗어,"
SD8_L0013,"grew a single fruit,",동그란 열매를 맺고
SD8_L0014,and opened its eyes.,눈을 뜨더니
SD8_L0015,"And so it was born, the brother he ate.",‘형’이 되었어.
SD8_L0016,"Somehow exactly like him, yet distorted, forever indigestible.","오래오래 소화되지 않을, 아이와 똑 닮은, 형의 추하고 귀여운 얼굴이 되었어."
SD8_L0017,"From then on the boy swallowed and swallowed, to push his brother down.",그 이후로 그 아이는 무언가를 자주 삼켰어. 형의 존재를 들킬까 봐 두려웠거든.
SD8_L0018,"His uncle’s pitying gaze, and the wail that leapt to his throat.","삼촌의 딱한 눈빛도, 그 눈빛을 보고 튀어나오려던 억울한 비명도,"
SD8_L0019,"The fingers his friends pointed at him, and the protest that leapt to his throat.","친구들의 손가락질도, 그 손가락을 보고 튀어나오려던 항변도."
SD8_L0020,"The sorrows, the cries. The way people would stare and stare and stare.","거대한 설움도, 조그마한 울음도. 수많은 사람들의 오싹한 눈빛도."
SD8_L0021,"‘Swallow. Swallow... Don't let it out.’",‘삼켜. 삼켜. 삼켜. 삼켜야지. 삼켜야만 해.’
SD8_L0022,"The child swallowed them all. Gulp gulp gulp, fresh vile vomit piling up.","아이는 전부 삼켰어. 꿀, 꺽 넘어가며 그것들은 싱싱한 토사물로 쌓여 갔지만"
SD8_L0023,but he dared not heave. In case they found out who lived in his esophagus.,아이는 뱉어 낼 수 없었어. 식도 속 형의 존재를 들킬까 봐 두려웠으니까.
SD8_L0024,In case they found what he crammed deep inside.,오래오래 감추고 싶었으니까.
SD8_L0025,"Then one day, just as he was about to brush his teeth before bed,","그러던 어느 날, 그 애는 잠들기 전 이를 닦으려다가"
SD8_L0026,he grasped at his chest and writhed as if he were being suffocated.,참아 낼 수 없는 답답함에 몸부림치며 가슴을 움켜쥐었어.
SD8_L0027,"And,","그리고,"
SD8_L0028,"So,","그렇게,"
SD8_L0029,"But,","그런데,"
SD8_L0030,So....,그렇게....
