Key,English (United States)(en-US),Korean (South Korea)(ko-KR)
SD100_L0001,Default Text,프롤로그: 달의 뒤편 이야기
SD100_L0002,Default Text,혹은... 모든 것의 시작
SD100_L0003,On the dark side of the Moon lived a boy named Red. ,달의 뒤편에 한 소년이 살았습니다. 소년의 이름은 레드.
SD100_L0004,"He worked at the Dream Factory, a wondrous place dedicated to crafting human dreams. ","그는 인간의 꿈이 만들어지는 환상적인 공간, 
‘달나라 꿈 공장’에서 일했습니다."
SD100_L0005,"Every night, Red received the newly updated memory of his humans’ day. ",매일 밤이면 사랑하는 인간들의 하루가 레드에게 도착했고
SD100_L0006,From them he carefully selected the boldest moments to feed into the dream machine. ,그 중 가장 선명하고 의미 있는 기억들을 골라 꿈 기계에 넣으면
SD100_L0007,"And with a soft twinkle, the machine popped out five fresh, vibrant dreams. ",색색깔의 꿈 구슬 다섯 개가 ‘반짝’ 하며 튀어나왔죠.
SD100_L0008,But Red’s task was not just to create—it was to protect. ,레드의 역할은 단지 꿈을 만드는 데에 그치지 않았어요. 그는 인간의 수호자기도 했습니다.
SD100_L0009,For even a single rotten dream could poison the human soul. ,단 하나의 ‘불량 꿈’이라도 인간의 영혼을 오염시킬 수 있었기 때문이죠.
SD100_L0010,Red cherished his humans and every minute spent at the Dream Factory.,"레드는 그의 인간들을, 그리고 달나라 꿈 공장에서의 모든 순간들을 너무나도 아꼈습니다."
SD100_L0011,"But one foggy night, a defective dream slipped past Red’s fingers,","그러나 어느 안개가 짙었던 밤, 한 ‘불량 꿈’이 레드의 손틈으로 빠져나가며"
SD100_L0012,darkening his human’s soul beyond repair. ,한 인간의 영혼을 완전히 망가뜨렸고
SD100_L0013,And Red could only watch as his dear human,레드는 그저 바라만 볼 수밖에 없었답니다.
SD100_L0014,walked and sank,그의 소중한 인간이
SD100_L0015,into the deep cold void of death. ,죽음의 깊고 차가운 심연으로 걸어들어가는 것을요.
SD100_L0016,"Like all the other failures before him,",다른 모든 실패자들과 다름없이...
SD100_L0017,"Red was cast out to the Crater,",레드 역시 ‘크레이터’로 추방되었습니다.
SD100_L0018,a giant pit of shattered nightmares. ,그곳은 폐기된 꿈들이 모이는 거대한 웅덩이.
SD100_L0019,"Now Red rakes through the filth, a servant in gloom,",레드는 이제 폐기물 속을 헤맵니다.
SD100_L0020,"bound to his punishment, an endless doom. ","형벌을 받드는 하인이 되어, 영원한 밤을 짊어진 듯이."
SD100_L0021,"Until one fateful day,","그러던 어느 운명적인 하루,"
SD100_L0022,"as Red idled through yet another uneventful afternoon, ","레드가 바닥을 쓸고 있던 지루한 오후에,"
SD100_L0023,a corner of the Crater began to bubble…,크레이터의 웅덩이 하나가 보글거리기 시작했습니다.
SD100_L0024,unmistakably alive.,마치... ‘살아 있는’ 것처럼요.
SD100_L0025,"Struck by a most peculiar idea,",별안간 아주 기상천외한 생각에 사로잡혔던 레드는
SD100_L0026,Red picked up a piece of chalk,분필을 집어들고... 
SD100_L0027,and drew a pair of eyes on the thing.,그것에게 눈을 그려 주었습니다.
SD100_L0028,"And so from the shards of dreams discarded,",그렇게 버려진 악몽들의 잔해가 뭉친 곳에서 태어난
SD100_L0029,was born a sticky black lump,검고 끈적한 덩어리.
SD100_L0030,"While Red thought it oddly endearing,","그것이 기묘하게 사랑스럽다고 느끼던 레드와는 달리,"
SD100_L0031,all the other cleaners seemed to find the creature horrifying.,다른 청소부들은 그것을 아주 경멸하는 듯했습니다.
SD100_L0032,MONSTER!  ,괴물!
SD100_L0033,MONSTER FROM FILTH! ,폐기물에서 나온 괴물이다!
SD100_L0034,But it’s harmless!,아니다! 해치지 않는다!
SD100_L0035,Crooked Eyes!,눈이 짝짝이다!
SD100_L0036,CURSED! ,저주받은 거다!
SD100_L0037,"Hey, I drew them!",야! 내가 그렸다!
SD100_L0038,"In the end, it was sentenced banishment to space… ",그들은 그것을 우주로 추방하기로 결정했습니다.
SD100_L0039,and certain death.,그것에게 죽음의 선고가 내려진 것입니다.
SD100_L0040,The black thing stared at the Pitch Black for a very long time…,그 ‘검은 것’은 새까만 우주를 오래도록 바라보다가
SD100_L0041,and murmured its last words.,마지막 유언을 속삭였습니다.
SD100_L0042,,“저 밖엔 나를 꿈으로 삼아 줄 다른 존재가 있을지도 몰라.”
SD100_L0043,"In that second, gazing into its crooked eyes,","그 순간, 그것의 찌그러진 눈동자 속에서"
SD100_L0044,Red and his two friends found something,소년 레드와 그의 두 친구들은 무언가를 발견했습니다.
SD100_L0045,they had not felt in a long time...,정말 오래도록 잊고 있었던... 
SD100_L0046,Hope.,희망을요.
SD100_L0047,So they began their preparations,그리하여 그들은 만반의 준비를 갖추기 시작했고
SD100_L0048,"And when all was ready,","마침내 모든 준비가 끝났을 때,"
SD100_L0049,the three moon musketeers launched the black thing to Earth.,그 검은 덩어리는 지구로 쏘아 올려집니다.
SD100_L0050,"Along with their dreams, hopes, and their eyeballs","달 삼총사의 꿈과 희망, 그리고 눈알을 품은 채."
SD100_L0051,all for the black thing to become a beautiful human dream!,오로지 인간의 아름다운 꿈이 되기 위하여!
SD100_L0052,Default Text,"- 끝 -
은 또 다른 시작일 뿐"
