Key,English (United States)(en-US),Korean (South Korea)(ko-KR)
S12_L0001,,…….
S12_L0002,,…….
S12_L0003,Dot!,뭉치야!
S12_L0004,,…….
S12_L0005,,…….
S12_L0006,Oh? Oh…… yes!,응? 어…… 응!
S12_L0007,<nickname>.,<nickname>.
S12_L0008,Hello.,안녕.
S12_L0009,What were you up to?,뭐 하던 중이었어?
S12_L0010,,…….
S12_L0011,,…….
S12_L0012,,…….
S12_L0013,,…….
S12_L0014,I was gazing at the sky!\nThe weather is so nice today.,"나, 하늘을 보고 있었어! 오늘\n날씨가 얼마나 화창한지."
S12_L0015,You can see the sky from your corner?|You call that… nice?,너의 모퉁이에서도 하늘이 보여?|오늘 날씨가… 화창한가?
S12_L0016,,…….
S12_L0017,,…….
S12_L0018,"Yes, yes of course!","응, 응, 그럼!"
S12_L0019,Of course.,그럼.
S12_L0020,"I see it, I do.","하늘이 보이지, 그럼."
S12_L0021,(Hmm…… I’m not sure Dot’s alright.),(음……. 뭉치 괜찮은 걸까.)
S12_L0022,(I should check on them again later.),(잠시 후 다시 확인하러 와 봐야겠어.)
S12_L0023,,…….
S12_L0024,,…….
S12_L0025,"Yes, yes of course!","응, 응, 그럼!"
S12_L0026,Of course.,그럼.
S12_L0027,Nice as anything. I see humans don’t\ngrade this kind of weather as nice?,"화창하지, 그럼. 너희 인간들은 이런\n날씨를 화창하다고 판별하지 않는구나?"
S12_L0028,,…….
S12_L0029,,…….
S12_L0030,(Does Dot want to be alone?),"(뭉치, 혼자 있고 싶은가?)"
S12_L0031,(I should check on them again later.),(잠시 후 다시 확인하러 와 봐야겠어.)
S12_L0032,I think I need to ‘rewind’.,지금 나에게는 ‘뒤로 가기’가 필요한 것 같아.
S12_L0033,"Huh? What do you mean?|Wait, what? What do you mean by that?","응? 무슨 뜻이야?|뭐, 뭐라고? 무슨 뜻이야?"
S12_L0034,Hehe. Just wishful thinking out loud.,히히. 불가능한 바람을 말해 봤을 뿐이야.
S12_L0035,You and me. Where we stand. I read\nEarth is on the third dimension.,너와 나. 지금 우리가 있는 곳. 지구가\n삼차원의 세계에 있다는 글을 봤어.
S12_L0036,They say time in the third dimension only\nflows one way. It can never go backward.,삼차원의 시간은 반드시 한쪽 방향으로만\n흐른대. 절대로 뒤로 갈 수가 없대.
S12_L0037,The way baked bread can never\nreturn to being runny batter.,구운 빵이 흐물흐물한\n반죽으로 되돌아갈 수 없듯이.
S12_L0038,The way paper that catches flames\ncan never retrieve its white glow.,불탄 종이가 다시 고운 흰빛을 띨 수 없듯이.
S12_L0039,They call it an irreversible state.,그걸 비가역적이라고 하나 봐.
S12_L0040,"I don’t know where these rules\ncome from… but you and me,","어디서 온 규칙인지 나는 알 수\n없지만… <nickname>도, 나도"
S12_L0041,"we have no choice but to follow them and\nbe swept in one direction, like riding a wave.",저항할 수 없는 규칙에 따라 파도를 타듯이\n한쪽으로 휩쓸려갈 수밖에 없는 거야.
S12_L0042,And in the end…,그러다 마지막에는 반드시…
S12_L0043,We face death.|(Listen to what Dot has to say.),죽음을 맞게 되지.|(가만히 뭉치의 말을 기다린다.)
S12_L0044,……,……
S12_L0045,Hmm…,음…
S12_L0046,Somewhat unfair. Definitely powerless.,조금은 부당해. 상당히 무력해.
S12_L0047,"A rigid rule that doesn't even show a hint\nof being open to change, no matter what.",어떤 수를 써도 바꿀 수 있다는\n가능성조차 보이지 않는 견고한 규칙.
S12_L0048,That's the rule we follow simply because\nwe were thrust into this world.,그저 세상에 내던져졌다는\n이유로 따라야 하는 규칙이야.
S12_L0049,I don't recall agreeing to it…,일단 나는 동의한 적이 없는 것 같은데…
S12_L0050,"Don't tell me you agreed to it, <nickname>?","어, 혹시 <nickname>은\n동의한 적 있어? … 아니지?"
S12_L0051,Me? Of course not.,나? 나도 당연히 그런 적이 없지.
S12_L0052,Whew… I though so. What a relief.,휴… 역시. 다행이야.
S12_L0053,So I pictured it. A world where I can ‘rewind.’,그래서 상상해 봤어. ‘뒤로 가기’를\n할 수 있는 세상을 말이야.
S12_L0054,…,…
S12_L0055,Would you like to picture it too?,같이 상상해 볼래?
S12_L0056,"Oh, okay. How?","으응, 좋아. 어떻게?"
S12_L0057,Let's picture us going back\nto the first time we met.,우리가 만난 처음의 시간으로\n돌아가는 모습을 상상해 보자.
S12_L0058,"The first time I hid my corner, and the times\nI observed dreams scattered like stars,","나의 모퉁이에 처음 숨어들었던 순간도,\n수많은 별조각 같은 꿈을 관찰하던 순간도"
S12_L0059,"the times I wrote in my diary\nand we read poetry together,","일기를 적고 함께 시를 읽는 순간도,"
S12_L0060,"the times you and I shared, ones I\nresented slightly and adored greatly.",조금은 원망하고 상당히 애정하던\n<nickname>과 나의 순간들을
S12_L0061,I pictured what it would be like to\nforget everything and start anew.,모든 걸 잊고 처음부터 ‘완전히\n새롭게’ 시작하는 걸 떠올려 봤어.
S12_L0062,…,…
S12_L0063,Would we be friends forever?,그러면 너와 나는 영원한\n친구가 될 수 있었을까?
S12_L0064,I still would have had fun with you.|Losing the memory may diminish its meaning.,확실히 너와 계속 노는 건 즐거웠을 거야.|계속 기억을 잃는다면 의미가 없을지도 몰라.
S12_L0065,Hehe. That's true.,히히. 그건 그래.
S12_L0066,"Anyhow, it's mere imagination.",그래도 모든 건 상상일 뿐이니까.
