Key,English (United States)(en-US),Korean (South Korea)(ko-KR),
S3_L0001,"<nickname>, about my bed.","<nickname>, 내 침대 있잖아.",
S3_L0002,Your bed?,네 침대?,
S3_L0003,"My bed, woven with resilience and\nsilk in the shadow of your bed.","응. 네 침대의 그림자 속에서, 희멀겋지만\n탄력 있는 호흡으로 존재하는 나의 침대.",
S3_L0004,My snug and sticky bed!,나의 끈적끈적하고 안락한 침대 말이야!,
S3_L0005,(... What does this mean.),(... 이게 무슨 뜻일까.),
S3_L0006,"(... Oh, right. Dot’s using the cobweb\nin the corner as a bed)","(... 아, 아아. 저 구석의 거미줄을\n뭉치가 침대로 쓰겠다 했었지.)",
S3_L0007,"Right, Dot. Your bed.\nI do remember.","응, 뭉치야. 네 침대. 기억했어.",
S3_L0008,Today I stumbled upon the\nartist who crafted the bed.,오늘 그 침대를 만들어 준 예술가\n선생과 우연히 마주쳤어.,
S3_L0009,"(Oh no. Please, no...)|(Wow. A third roommate!)","(세상에. 안 돼. 설마, 제발...)|(동거인이 한 마리 더 있었구나!)",
S3_L0010,"The artist? You met them\nhere, in this room?",예술가 선생? 혹시\n우리 집에서 만난 거야?,
S3_L0011,"Yes, yes. She was perched elegantly\non the windowsill over there.","응, 응. 그는 저쪽 창틀 위에\n고고하게 앉아 있었지.",
S3_L0012,(Stop imagining it. Stop!)|(An elegant spider? How cute!),(상상하지 말자. 상상하지 말자.)|(고고한 거미? 상상하니 귀엽잖아!),
S3_L0013,"I inched closer... and, with the utmost\nregard, counted her eight eyes,","난 조금 가까이 다가가서... 실례를 범하지\n않았길 바라며, 그의 여덟 개나 되는 눈,",
S3_L0014,and eight magnificent\nlegs one by one.,그리고 경이롭게도 ‘역시’ 여덟 개나 되는\n다리를 하나하나 세어 보고 있었는데.,
S3_L0015,And then.,그때.,
S3_L0016,And then...?,그때...?,
S3_L0017,"Our eyes met. Midair,\na little awkwardly.","눈이 마주친 거야. 허공에서,\n조금은 어색하게,",
S3_L0018,Her eight eyes and my\ntwo eyes locked together.,그의 눈알 여덟 개와\n나의 눈알 두 개가 말이야.,
S3_L0019,"She was much paler up close, and\nhad glorious stripes! Very fluffy.","가까이에서 본 그는 훨씬 새하얀데,\n멋진 줄무늬도 있고! 아주 복실복실했어.",
S3_L0020,She even let me touch her fur.\nA truly refined lady.,털을 만져보는 것도 허락해 주었지.\n근사한데 상냥하기까지.,
S3_L0021,"And just between you and me,\nshe’s still on the windowsill.","이건 너와 나 사이의 귓속말인데,\n어, 그가 아직 창가에 있어.",
S3_L0022,"Right, so... So. She’s still\nthere, like, right now?","어... 저기 있다고, 지금?",
S3_L0023,"The spider? Wait, no... the artist?","거미가? 아니, 하하...\n예술가 선생이?",
S3_L0024,"Yes, that’s it, <nickname>. I’d like\nto give her a thank-you present.","응, 응! <nickname>, 털을 만지게 해 준 답례로\n나도 선물을 주고 싶은데...",
S3_L0025,See the resemblance?\nIt’s a token of my respect.,"어때, 좀 닮았어? 그에\n대한 나의 존경을 담았어.",
S3_L0026,Sure. I know she’ll be thrilled.|I’m not sure what spiders find appealing.,"오, 그럼. 그가 정말 기뻐할걸?|거미들의 취향은 잘 모르겠네.",
S3_L0027,"What a relief.\nThank you, <nickname>.","한시름 놓을 수 있겠어. 고마워, <nickname>.",
S3_L0028,"I don’t blame you.\nYou are human, after all.","아무래도 그럴 수 있겠다.\n<nickname>, 너는 인간이니까.",
S3_L0029,"Well, I’ll be back.\nWish me luck!",다녀올게. 행운을 빌어 줘!,
S3_L0030,"Oh, how splendid it\nmust be, <nickname>","아, 얼마나 황홀할까, <nickname>!",
S3_L0031,To soar across the blue sky and\nrace far beyond the clouds!,푸르른 하늘을 가로지르며\n구름 너머로 내달리는 삶이란!,
S3_L0032,"To be a child forever,\nfree and whole and unchained,","날 묶어 두는 어떠한 족쇄도 없이,\n그저 나로서 자유롭게 영원한 아이가 되어",
S3_L0033,and spend each day adventuring\nand exploring life itself!,매일 매일을 행복하게 모험하고\n탐구하고 탐닉하기만 하며 살 수 있다면!,
S3_L0034,"(Sounds familiar. A book, maybe?)|(Blue sky? A child forever? Huh?)","(어디에서 들어 본 이야기네... 아, 소설이었던가?)|(푸르른 하늘, 영원한 아이? 무슨 소리지?)",
S3_L0035,"Have you been reading\nwhat I think you have, Dot?","혹시 뭉치, 어떠한 책을 읽은 거야?",
