Key,Id,English (United States)(en-US),Korean (South Korea)(ko-KR)
menu_title,52855701504,MAIN MENU,메인 메뉴
menu_howto,52956364800,GUIDE BOOK,달나라 쪽지
menu_progress,52956364801,PROGRESS,하루 진행도
menu_mypage,52956364802,MY PAGE,마이 페이지
settings_title,52956364803,SETTINGS,게임 설정
settings_name,52956364804,NAME,이름
settings_BGM,52956364805,BGM,배경 음악
settings_SFX,52956364806,SFX,음향 효과
settings_alert,52956364807,PUSH ALERT,푸시 알림
settings_namechanged,52964753408,"Your name has been changed to '{nickname}'.
Dot will now call you by this word.","‘{nickname}’(으)로 이름이 변경되었습니다.
뭉치가 당신을 이 단어로 부르게 됩니다."
settings_namesetting_title,52964753409,"Names describe you, and define you.\nWhat do you want Dot to call you?","이름이란 당신의 표지이자 심지.
뭉치에게 어떠한 이름으로 불리우고 싶나요?"
settings_namesetting_placeholder,52964753410,Suggestion: Your first name,권장: 성을 제외한 본명
settings_namesetting_no,52964753411,Cancel,취소하기
settings_namesetting_yes,52964753412,Save,저장하기
settings_pushoff_title,52964753413,You won't be able to hear Dot's woeful cries.\nWill you really turn off the push alert?,뭉치의 애절한 부름을 들을 수 없게 됩니다.\n정말 푸시 알림을 끌까요?
settings_pushoff_no,52964753414,Turn it off.,무심하게 꺼 버린다.
settings_pushoff_yes,52964753415,Leave it on.,마음이 약해졌다. 켜 둔다.
settings_language,52964753416,LANGUAGE,언어
community_title,52964753417,COMMUNITY,커뮤니티
community_instagram,52964753418,"Enjoy our tidbits of text\nfull of literature,\nphilosophy, and humor!",온통 네모난 세상 속\n유일하게 동그란 뭉치의\n 비하인드-더-씬 사진첩
community_discord,52964753419,"Our Discord community.\nWe invite you to our \nplayground, your safe space.","게임 <뭉치>의 Discord 커뮤니티.\n그림자 진 놀이터,\n우리만의 안식처로 초대합니다."
community_discordTip,52964753420,For gameplay feedbacks\nor bug reports!,게임 플레이에 문제나\n버그가 있다면 여기로!
community_x,52964753421,Where Dot's uncomfortable and lovable fancies are wound up into spools of thread.,불유쾌하고 사랑스러운\n뭉치의 상상들이\n실타래처럼 엉켜 있는 곳.
community_url_0,52964753422,https://discord.gg/gDnphBApmK,https://discord.gg/gDnphBApmK
community_url_1,52964753423,https://www.instagram.com/moonstew_games/,https://www.instagram.com/moonstew_games/
community_url_2,52964753424,https://x.com/moonstew_games,https://x.com/moonstew_games
credit_title,52964753425,CREDITS,만든 사람들
