Key,English (United States)(en-US),Korean (South Korea)(ko-KR)
TM_L0001,"Humans have a round head, flat\nbody, long stick-like arms and legs,","인간은 동그란 머리 하나와 판판한 몸, \n기다란 선 같은 팔다리를 가지고 있는데,"
TM_L0002,"and at the end of each limb are no more than\nfive fingers and toes, flexing intricately.",그 팔다리 네 개 끝에는 정교하게 꼬물거리는\n손발가락들이 무려 다섯 개나 달려 있어.
TM_L0003,And they grow loooong hair to\nprotect their advanced brain.,또 기이다란 머리털이 그들의\n고등한 뇌를 지키기 위해 자라나지.
TM_L0004,And here’s the really truly incredible part!,그리고 정말로 정말로 놀라운 부분은!
TM_L0005,Humans are colorful.\nJust like the dreams they have!,인간은 ‘색’이 아주 많다는 거야.\n그들이 꾸는 꿈처럼 말이야!
TM_L0006,"Hair, eyes, skin, all contain\ncolor like individual traces.","머리칼에도, 눈동자에도, 피부에도,\n각자만의 흔적 같은 색을 품고 있지."
TM_L0007,"The color of a young leaf, a clear sky,\nand your own skin is certainly beautiful.","흐드러지는 풀잎의 색, 선선한 하늘의 색,\n그리고 네 가죽의 색도 아름답지만."
TM_L0008,But I heard the colors of humans\nare inimitably beautiful.,인간의 색은 그와는 비교할\n수 없이 아름답다고 들었어.
TM_L0009,And I hear they add layers of unborn\ncolors with cloth and accessories!,"또 천이나 장식으로 피부를 덮어, 가지고\n태어나지 않은 색들도 마음껏 덧칠하고는 한대!"
TM_L0010,From what Red has told me...,레드의 말을 취합해서\n유추해 본 결과...
TM_L0011,Humans... look like this!,인간들은... 이렇게 생겼어!
TM_L0012,He said showing this would work. That only\nhumans have such a wonderful exterior.,이걸 보여 주면 알 거라고 했어. 이렇게\n멋진 외형을 가진 건 인간밖에 없다고 했거든.
TM_L0013,Have you ever seen a real human too?,너도 인간을 실제로 본 적이 있니?
TM_L0014,(Huh?),(어라?)
TM_L0015,(What is this?),(이게 대체 뭐지?)
TM_L0016,Well... you make me blush.\nSince I’m human?,그... 쑥스럽네. 내가 인간인걸?
TM_L0017,You’re human?,네가 인간이라고?
TM_L0018,... There’s no way.,... 말도 안 돼.
TM_L0019,Why not?|Believe it or not!,"Why not?|Believe it or not, it’s true!"
TM_L0020,Humans. Round head... two arms...,인간의 특성. 동그란\n머리... 팔 두 개....
TM_L0021,Two legs... flat body...,다리 두 개... 판판한 몸통....
TM_L0022,Color...ful. Oh?,색깔이 많... 다. 어라?
TM_L0023,Do you read words made\nof squiggly letters?,"너, 네모반듯하게 짜인\n문자로 된 글을 읽니?"
TM_L0024,"Well, of course.","그럼, 당연하지."
TM_L0025,And do you sing beautiful tunes?,너도 아름다운 노래를 하니?
TM_L0026,I can sing. (I don’t know about beautiful.)|Of course. My shower head is my biggest fan.,노래를 하긴 하지? (아름다운지는 모르겠지만...)|그럼! ‘샤워할 때 노래하기’ 내 주특기라고!
TM_L0027,And do you <i>hmmm</i>\nwhen you’re lost in thought?,너도 고민에 잠겼을 때 가만히 ‘음’\n같은 소리를 내기도 하니?
TM_L0028,Hmm... oh? I guess I do!,음... 어라? 그런 것 같아!
TM_L0029,Unbelievable.,말도 안 돼.
TM_L0030,Unbelievable!,말도 안 돼!
TM_L0031,I met a human! I did it? I did it!,인! 간을 만났어! 만났어? 만난 거야!
TM_L0032,"<nickname>, everyone on\nthe moon loves you!","<nickname>, 달에 있는\n모두가 너를 사랑해!"
TM_L0033,Human! Hu-man! HUMAN!,인간! 인 간! 인간이야!
TM_L0034,"Human <nickname>, my body pounds and my\nheart swivels, it’s just that nice to meet you.","인간 <nickname>, 몸이 콩콩 뛰고\n심장이 빙글 돌아갈 것처럼 반가워."
TM_L0035,How does one on Earth call\nthe color I see on your hair?,너의 이 머리카락에서 보여지는\n색은 지구에서 뭐라고 불려?
TM_L0036,That would be......,내 머리의 색은......
TM_L0037,I see! I won’t ever forget!,그렇구나! 결코 잊지 않을게!
TM_L0038,"Oh, oh, oh! <nickname>, I’m a blobby creature\nborn on the dark side of the Moon!","아, 아, 아! <nickname>, 나는\n달 뒤편에서 태어난 덩어리 괴물!"
TM_L0039,"I opened my eyes in a puddle of\nFilth from the dream factory,","비록 꿈 공장의 폐기물\n웅덩이 속에서 눈을 떴지만,"
TM_L0040,"but the first things that these eyes saw were\ndream marbles, iridescent and glowing.",그러한 나의 눈에 최초로 담긴\n것은 색색의 꿈 구슬들이었어.
TM_L0041,And though I have a unpleasant\nsticky body for the moment...,지금은 불쾌하고 끈적한\n몸을 가지고 있지만...
TM_L0042,I know that one day I will become\na beautiful dream of a human!,언젠가는 인간의 아름다운\n꿈이 될 것이라는 확신이 있어!
TM_L0043,"I don’t, actually... Nothing is certain and even\nin bliss I find myself wrapped in despair",실은 없어.... 아무것도 확실한 게 없어서\n환희 속에서도 절망에 휘어감기는 나지만
TM_L0044,but my hopes are unshaken.,하지만 소망만은 확고해.
TM_L0045,So... So...,그러니까... 그러니까....
TM_L0046,Could I ask a favor of you?,너에게 부탁을 하나 해도 될까?
TM_L0047,"Which... would be...?|Yes, what is it?","뭔... 데...?|응, 뭔데?"
TM_L0048,"Hmm, hmm, hem, hem!","음, 음, 흠, 흠!"
TM_L0049,"I, I, I want to become the best dream for\nhumans. Tell me everything about them!","나, 나, 인간을 위한 최고의 꿈이 되고\n싶어. 인간에 대한 모든 걸 알려줘!"
TM_L0050,I want take place in any old dusty\ncorner and observe you from behind.,어디서나 먼지 내려앉은 구석에 틀어박혀\n너의 뒷모습을 관찰하고 싶어.
TM_L0051,Let me record each and every vibrant\nmoment by your side always.,언제나 너의 곁에 함께하면서 생동하는\n모든 순간을 기록하게 해 줘.
TM_L0052,"I want to make you, human, happy!",인간인 너를 행복하게 해 주고 싶어!
TM_L0053,Hold on.,잠깐만.
TM_L0054,From henceforth I’ll be with you like\na sticky shadow! Forever and always!,"이제부터는 끈적한 그림자처럼\n내가 함께할게! 항상, 항상!"
TM_L0055,Hold on...!,잠깐만...!
TM_L0056,"Yes, yes?","응, 응?"
TM_L0057,"(24-hour surveillance? No thank you.)|(That’s nice, but how do I turn them down?)",(24시간 붙어 있는 건 부담스러워… 솔직히 말하자.)|(마음은 고맙지만… 둘러댈 만한 좋은 핑계가 없을까?)
TM_L0058,Being around each other\nall the time would be difficult.,항상 붙어 다니는 건 조금 무리야.
TM_L0059,"Humans respect each\nother’s privacy, you see.",인간에게는 각자의 오붓한 공간을\n존중해 주는 문화가 있거든.
TM_L0060,So it would be too much to\nobserve me every single day.,그래서 매일매일 나를 관찰하는\n건 무리일 수 있지만.
TM_L0061,There is so much more\nout there than just me.,세상에는 나 말고도\n여러 군상이 있어.
TM_L0062,If you want to learn everything about\nhumans... I think you’ll need more than me.,뭉치가 인간의 전부를 알고 싶은 거라면...\n나만으로는 부족하지 않을까.
TM_L0063,"You want to know about\nhumans as a whole, right?",‘인간’ 자체가 궁금한 거지?
TM_L0064,Then observing more humans\nwould be one way of doing that.,그렇다면 보다 많은 사람을\n관찰하는 것도 하나의 방법일 거야.
TM_L0065,Such as exploring the world outside...,바깥을 탐험한다거나....
TM_L0066,...!,...!
