Key,English (United States)(en-US),Korean (South Korea)(ko-KR)
TS_L0001,My body aches a bit from\nexploring Earth’s bright beauty.,지구의 밝음과 아름다움 사이를 탐험\n하느라 몸이 조금 저리게 되었지만
TS_L0002,"But it was worth it, since\nI discovered this place!",그럴 만한 가치가 있었지.\n이곳을 찾게 되었으니!
TS_L0003,"A small, cozy corner.\nIt’s a lot like me.",작고 구석진 모퉁이. 나를 닮은 곳.
TS_L0004,Dark. Cramped. Grimy.,"아이, 어두워. 비좁아. 지저분해."
TS_L0005,Like a hug from a sticky shadow.,끈적한 그림자가 감싸는 것 같지.
TS_L0006,Is this it? Is this where I’ll meet\nmy very own amazing ‘human’?,이곳일까? 나의 멋진\n‘인간’을 만나게 될 곳?
TS_L0007,Ahh!,으아아!
TS_L0008,Ahhhh!,으아아아아!
TS_L0009,Ahhhhhhh!,으아아아아아아아!
TS_L0010,My darkness. My darkness is gone.,나의 어둠. 나의 어둠이 사라졌어.
TS_L0011,It seems my journey on Earth now ends under the feet of this humongous monster.,내 지구에서의 여정은 따가운 빛에 물어뜯기다\n저 거대한 괴물에 발에 밟히며 끝나겠구나....
TS_L0012,Is life really this fleeting?,역시 삶은 덧없는 것이었나?
TS_L0013,"One day shining radiantly\nlike a dream marble,",꿈 구슬처럼 영롱히 빛나다가도
TS_L0014,"And dropped into a vicious,\nmuddy pit the next?",언제든지 포악한 구덩이의 진창\n속으로 빠져 버릴 수 있는 것?
TS_L0015,"For what did I dream, staring\nat Earth all this time?",나는 대체 무엇을 위해\n지구를 바라보며 꿈을 꾸었지?
TS_L0016,"(What’s that? I’m scared, but I won’t show it.)|(’Humongous monster’?! I’m human, a nice one, even...!)","(저, 저게 뭐야? 무섭다. 하지만 티를 낼 수는 없지.)|(’거대 괴물’이라니...! 난 선량한 인간이다....)"
TS_L0017,"Monster, dream marble, pit? What?","괴물, 꿈 구슬, 구덩이? 뭐?"
TS_L0018,"(Is it an alien? A monster?\nWhatever it is, it’s talking...!)",(외계인인가? 괴물? 이게\n뭐든... ‘말’을 하고 있어...!)
TS_L0019,(Is it frightened? But why?\nI’m the one who should be scared!),(겁에 질린 건가? 하지만 왜?\n내가 제일 무서워야 하지 않나?)
TS_L0020,"(Okay, let’s take a deep breath...\nInhale, exhale.)",(우선 심호흡을 하고... 후 하.)
TS_L0021,"Hey, I won’t hurt you.","저기, 나는 너를 해치지 않아."
TS_L0022,"I won’t push you into a muddy pit,\nyou Unidentified Black Blob.","정체 모를 검정 덩어리, 진창\n같은 곳에 떨어질 일은 없을 거야...."
TS_L0023,"I also have no intention of stepping\non you, if that’s what you mean.",우선 나는 너를 밟지 않을 생각이거든.
TS_L0024,"Like I said, I won’t hurt you.\nYou can calm down.",그러니까... 너를 해치지\n않겠다는 뜻이야. 진정해도 돼.
TS_L0025,Won’t hurt me? Won’t hurt me?,해치지 않아? 해치지 않아?
TS_L0026,...My darkness. Your attack began the\nmoment you ripped away my darkness.,... 나의 어둠. 그것을 뜯어 간\n순간 나는 이미 다쳐 버렸는걸.
TS_L0027,......,.......
TS_L0028,"Uh, s, sorry.","어어, 미, 미안."
TS_L0029,"I guess the sudden brightness must have\nshocked you. Here, I’ll bring it back.",갑자기 밝아져서 놀랐구나.\n여기... 돌려 줄게.
TS_L0030,(Let’s wait until that\nmystery blob calms down.),(저 정체 모를 덩어리가\n진정되기까지만이라도 기다리자.)
TS_L0031,.......,.......
TS_L0032,.......,.......
TS_L0033,.......,.......
TS_L0034,.......,.......
TS_L0035,"You ripped away my darkness and disturbed\nmy peace, but you also gave it back.",너는 나의 어둠을 앗아가고 평화를\n깨뜨렸지만 그래도 다시 돌려주었어.
TS_L0036,You are kind.,너는 친절하구나?
TS_L0037,I really didn’t mean to rip away\nanything of yours.,정말이지 빼앗아 갈 생각은 없었어.
TS_L0038,I just opened the bookshelf cabinet door\nlike any other day.,어느 평범한 하루처럼 책장\n문을 열었을 뿐이야.
TS_L0039,... My cabinet door... In my house.,.... 나의 집에 놓인... 내 책장 문을.
TS_L0040,"Oh my, so this place belongs to you.","이런, 이 공간은 원래 너의 것이었구나."
TS_L0041,Please excuse me. But there is\nsomething I really need to say!,실례를 했어. 그렇지만 꼭\n하고 싶은 말이 있는데!
TS_L0042,"This corner of the wooden structure is\na beautiful, safe, and ugly place, truly.",이 목재 조형물의 모퉁이는 정말\n아름답고 안전하고 못난 곳이야.
TS_L0043,"Thanks to it, I could rest wholeheartedly\nfor the first time since arriving on Earth.",덕분에 지구에 와 처음으로\n온전하게 안락해질 수 있었어.
TS_L0044,"The bookshelf corner, you mean? You like it there,\nhuh. I don’t remember dusting it...",책장 구석? 거기가 좋았구나.\n먼지 안 닦았을 텐데...
TS_L0045,"Well, thanks for the compliment. (If it is one?)|In any case... I wasn't the one intruding here.",모쪼록 칭찬 고마워. 칭찬이... 맞다면?|아무튼 침범한 쪽은 내가 아니라고...
TS_L0046,You are the first creature I’ve met on Earth.,너는 내가 지구에서 만난\n첫 번째 생명체.
TS_L0047,You have become a precious symbol\nthat will live on in my memory.,기억에 오래 남을 소중한\n상징이 됐어.
TS_L0048,What are you?,너는 뭐야?
TS_L0049,I am......,나는......
TS_L0050,I am <nickname>.,나는 <nickname>(이)야.
TS_L0051,What characteristics does\nthe <nickname> species possess?,<nickname> 종족은 어떤\n특성을 가지고 있어?
TS_L0052,"Oh, that’s actually my name.","아, 그건 내 이름이야."
TS_L0053,"Ah! Name. Name. Name, the sign of being.",아! 이름. 이름. 이름은\n존재의 표지 같은 것.
TS_L0054,"When one’s name is called,\nthe soul sways restlessly.",이름이 불릴 때면\n영혼은 가벼이 들썩이지.
TS_L0055,I am ‘Dot.’ The beings I met on\nthe Moon gave me this name.,나는 ‘뭉치’야. 달에서 알게\n된 이들이 지어 주었어.
TS_L0056,...Huh? The Moon?,.... 응? 달?
TS_L0057,Who lives on the Moon?,달에 누가 살고 있니?
TS_L0058,Many beings!,"응, 아주 많은 이들이 살지!"
TS_L0059,The dark side of the Moon has a Dream\nFactory that creates human dreams!,달의 뒤편에는 ‘인간’들이 잘 때 꾸는\n꿈을 만드는 아름다운 꿈 공장이 있어!
TS_L0060,"Above and below the factory, the workers\nwho create and oversee dreams","공장 위에서 꿈을 만들고\n검수하는 직원들도,"
TS_L0061,"And the cleaners who dispose of the Filth\nfrom dreams unfit for delivery,",공장 아래에서 송출되지 못한\n꿈들의 폐기물을 치우는 청소부들도
TS_L0062,They all live full-fledged lives on the Moon!,모두 달 위에서 어엿하게\n살아 있고 말고!
TS_L0063,(Confusing.),(혼란하다.)
TS_L0064,(A black blob appears out of nowhere\nand starts talking),(검은 덩어리가 내 집에 떨어져 말을\n주고받는 이 상황조차 믿기지 않는데)
TS_L0065,(더 믿기 힘든 이야기를 꺼내니 당황스러운걸.)|(저 동화적이고 가슴 뛰는 이야긴 뭐지?),(더 믿기 힘든 이야기를 꺼내니 당황스러운걸.)|(저 동화적이고 가슴 뛰는 이야긴 뭐지?)
TS_L0066,"Oh, my. That cloud has floated to over\nthere already! There is no time to waste.","아, 이런. 벌써 구름이 저만큼이나\n흘러가 버렸다니! 지체할 시간이 없어."
TS_L0067,Would it be possible for you to\ntake me to a ‘human’?,혹시 나를 ‘인간’에게\n데려다 줄 수 있어?
TS_L0068,"I’m sure Red, Sir Cello, and Edison are\nlooking down from the Moon, elated.","레드와 첼로 경, 그리고 에디슨이 달에서\n내려다보며 한껏 기대하고 있을 거야."
TS_L0069,Oof. If you don’t know what a human is......,"아, 저런. 혹시 인간이\n뭐지 모른다면......"
TS_L0070,I’m ready to leave now.,나는 이제 떠날 준비가 됐어.
TS_L0071,"With somewhere to return to, departure\nis no longer a farewell but an adventure!",돌아갈 곳이 있다면 떠나는 행위는 작별이 아닌 모험이 되지!
TS_L0072,"An adventure, that sounds cool.","모험이라, 멋진걸?"
TS_L0073,Adventure. Adventure...!,산책. 모험. 산책. 모험.
TS_L0074,I am ready to leave.,떠날 준비가 됐어.
TS_L0075,I am ready to leave!,나는 떠날 준비가 됐어!
TS_L0076,"Dot, are you really ready to leave?","뭉치, 떠날 준비가 아직 안 됐어...?"
TS_L0077,Yes! I am ready to leave!\nI’ll be fine. Fine.,아니! 떠날 준비가 됐어! 나는 괜찮을 거야. 괜찮을 거야.
TS_L0078,"<nickname>, I’ll be brave and go.\nI’ll be back, safe and alive, hopefully...","그럼, <nickname>, 용기 있게 다녀올게. 반드시 안전하게 살아서...."
TS_L0079,Oh!,어!
TS_L0080,"Dot, you’ve made it back safely\nin one single round piece!","뭉치, 죽지 않고 원형 몸체\n그대로 성하게 돌아왔구나!"
TS_L0081,"Yes... an extraordinary,\nenthralling exprience!",응... 산책이란 특색 있고\n새콤한 경험이었어!
TS_L0082,It would have been more pleasant\nif my body was colored like that of a dream.,나의 몸이 꿈처럼 예쁘게 채색된\n모양이었다면 더욱 투명히 기뻐했겠지만....
TS_L0083,"But I am instead foul, lumpy, and black...\njust a useless dark spot in the world.",이 끔찍한 검정 덩어리. 만물 사이에서 홀로\n새까만 채로 존재하는 게 어찌나 고독한 일이던지.
TS_L0084,But it was alright. I was able to quietly\nhumans people going their way!,그래도 괜찮아. 길거리를 걸어다니는 수많은 인간들을 소리 없이 구경할 수 있었으니까!
TS_L0085,(Curious. I thought Dot liked the dark?),"(문득 궁금해. 뭉치,\n어둠을 좋아하지 않았던가?)"
TS_L0086,(So why do they dislike their body so?),(자신의 검은 몸은 왜 싫어하는 거지?)
TS_L0087,"But Dot, don’t you like\ndark places and shadows?","뭉치, 그런데 뭉치는 어둑한\n장소들과 그림자를 좋아하지 않아?"
TS_L0088,"You’re scared of the light, right?",빛을 무서워하는 거지?
TS_L0089,... You paid attention and remembered!\nYes. That’s exactly it!,... 세심하게 관찰하고 기억해 주었구나!\n맞아. 정확해!
TS_L0090,"Um, but you don’t seem to like your body\ndespite it being a similar shade. Why is that?","그, 그런데 공교롭게도 너의 검은 몸은\n싫어하는 것 같네. 왜 그런 거야?"
TS_L0091,Hm... hm. Hmm.,음... 음. 으음.
TS_L0092,......,.......
TS_L0093,I like the dark because it\nresembles me. It’s comforting.,어둠은 나를 닮아 좋아. 편안해.
TS_L0094,It’s a safe space for me when\nthe light tries to erase me whole.,"빛이 나를 지워 버리려 들 때, 내가 안전하게\n존재할 수 있는 공간이 되어 주거든."
TS_L0095,The dark is a snug and loving peace.,어둠은 포근하고 자애로운 평화야.
TS_L0096,The black is... different. An infinitely\nexpanding void that robs one of sight.,암흑은... 달라. 그것은 한 치\n앞도 볼 수 없는 무한 증식의 공간.
TS_L0097,"It hides all, and ironically reveals\nall in the cruelest of ways.",모든 것을 가리기에 역설적으로 모든 걸\n가장 잔인한 방식으로 들춰 내지.
TS_L0098,"Beings with vicious, sharp teeth lurk within.\nThose I cannot even name...",그 속엔 가장 잔혹하고 날카로운 이를 가진\n존재들이 스멀거려. 차마 이름을 댈 수도 없는....
TS_L0099,"I get it. The right amount\nof dark is a place to relax,","알 것 같아. 적당히 내려앉은\n어둠은 편히 쉴 수 있는 공간,"
TS_L0100,one where imagination can stretch its legs,상상력이 다리를 쭉\n뻗을 수 있는 공간이지만
TS_L0101,"but a small room with zero light, or a park\nin the dead of night was always scary.","아주 깜깜한 독방이나, 가로등이 고장 난\n야밤의 공원은 늘 두려움의 존재였어."
TS_L0102,You caught right on to the nuanced\ndifference between the two.,어둠과 암흑은 꽤나 닮아서 헷갈려 할 것\n같았는데! 단박에 이해해 주다니.
TS_L0103,"My blackness... is like that.\nA fearful, filthy sort of thing...","내 검정은... 그런 검정이거든. 해롭고,\n두렵고, 불결한 꿈 폐기물의 검정...."
TS_L0104,"No, no. I don't want\nto talk about it anymore.",아. 아니. 더는 이야기하고 싶지 않아.
TS_L0105,Would it be alright for me to regale\nyou with tales from my walk instead?,대신 나의 산책에 대한 이야기를\n마음껏 풀어헤쳐 보아도 될까?
TS_L0106,If that makes you comfortable.\nWould you like to start?,"음, 네가 그게 편하다면\n그렇게 하자. 이야기해 줄래?"
TS_L0107,"<nickname>, the truth is...","아, <nickname>, 실은...."
TS_L0108,Huh?,응?
TS_L0109,I heard you humans have a splendid\ncustom called ‘writing a diary.’,너희에게 일기라는 근사한 풍습이 있다고 들었어.
TS_L0110,Did the beings on the Moon tell you?,달의 이들이 그랬니?
TS_L0111,"Yes, they said humans write\nabout their day before it ends.","응 응. 하루가 끝나기 전에\n하루에 대한 감상을 적는 건데,"
TS_L0112,"It lets you see what is unseen,","보이지 않는 것을 보게 해주고,"
TS_L0113,"and makes what is special even more so.\nA magical ritual, don’t you think?",소중한 것을 더욱 소중하게\n해 주는 마법 같은 의식이래.
TS_L0114,(The beings on the Moon... They really\nseem to value humans in a special way.),(달의 이들... 그들은 인간을 정말\n특별하게 생각해 주고 있는 것 같아.)
TS_L0115,I have a leftover notebook and a pen.\nWould you like to use it to write a diary?,"나한테 남는 노트와 펜이\n있는데, 뭉치가 이걸 쓸래?"
TS_L0116,<nickname>.,<nickname>.
TS_L0117,Some kind of water seems to blur my vision.\nIs this what thankfulness feels like?,눈 아래에서 찰랑이는 느낌이\n들어. 이게 고마움이라는 걸까?
