ID,ScriptKey,SuccessKor,FailKor,SuccessEng,FailEng,ArtFilePath
1,sub_mold,나를 닮은 곰팡이 친구와 첫만남. 그는 과묵했다.,내가 곰팡이 친구와 마주쳤다는 걸 <nickname>에게 알려 주고 싶었는데!,My first encounter with some mold just like me. But a quiet fellow.,"Aw, I wanted to tell <nickname> about the mold friend I met!",
1,sub_booklove,<nickname>의 표지에 신사적으로 노크하는 법을 연습할 테야. 우리가 서로를 독서할 수 있기를.,"아무도 없는 고요한 방에서, 독서는 홀로 사유의 바다를 헤엄치는 일.",I'll knock on <nickname>’s book cover with decorum. May we read each other.,"In a silent empty room, to read is to swim in a sea of thought on your own.",
1,sub_polysemy,단어들은 다채로운 맛이 나는 사탕구슬. 데굴데굴 굴려보자!,사탕 구슬의 달콤하고 혼란한 비밀… 영원한 의문으로 남다.,Words are candy-marbles with colorful flavors. Let’em roll!,"The sweet, chaotic secrets of candy-marbles… what a mystery.",
1,sub_sixwords,여섯 단어 소설: “침대 아래에 숨은 먼지 속의 나!”,<nickname>을 위해 적었던 나의 여섯 단어 소설은 이제 영영 서랍 속으로....,"Here’s a six-word novel: “Dusty ol’ me, under the bed!”",Someday I’ll tell <nickname> the amazing six-word novel about them!,
2,sub_mindtest,<nickname>에게는 비밀이지만 나라면 모든 길을 갔을 거야. 이렇게 말이지!,오른쪽? 아니면 왼쪽? 답을 듣고 싶었는데…,"Don’t tell <nickname>, but I would have gone down all the paths. Like this!",Turn right? Or turn left? I would have liked to hear an answer…,
2,sub_collection,인간의 눈알은 한 번 빠지면 다시 생겨나지 않아 수집 불가능.,"인간만의 작고 동그랗고 아름다운 무언가, 수집 실패.","Human eyes, once pried, cannot grow back. Not made for collecting.","Something small, round, beautiful and uniquely human. Failed to collect.",
2,sub_holes,나의 ‘가장 때묻지 않은 모습’은… 어쩌면 까만 우주를 바라보던 그날.,완전함이라는 건 뭘까? <nickname>의 생각을 묻고 싶었는데 말이야.,Maybe I was most untainted… while gazing into the universe.,What does it mean to be whole? I wonder if <nickname> knows.,
2,sub_hope,행방불명된 모든 곰팡이들의 안식을 바라며.,곰팡이 포자들의 끔찍한 최후에 눈길을 주는 인간은 없었던 걸까?,May all mold gone missing rest in peace.,Did no human care about the tragic fate of mold?,
3,sub_spider,멋진 침대를 만들어 준 거미 선생의 예술적 면모에 <nickname>도 감탄하는 듯했다!,"거미 선생이 내 선물을 맘에 들어 할까? <nickname>, 옆에 있었다면 멋진 조언을 해 줬을 텐데!",<nickname> also seemed impressed by the spider’s artistic expertise!,"Will the spider like my present? Oh <nickname>, if only I had your advice!",
3,sub_neverland,자라난 아이는 네버랜드 바깥에서 어떤 세상을 이루게 될까?,해먹에 늘어져 피터 팬을 읽었다. 그처럼 영원한 자유를 누리며 사는 삶이 궁금해.,What kind of world will kids grown-up create outside Neverland?,Read <i>Peter Pan</i> on the hammock. What is it like to live forever free?,
3,sub_red,내게 분필 눈과 첫 숨을 선물해 준 레드의 따스함. 잊혀지지 않을 거야.,태어난 순간 온몸을 감싸던 레드의 온기에 관해 이야기해 주고 싶었지만.…,Red’s warmth breathed into me my first breath. I'll never forget.,Wanted to talk about how Red’s warmth felt as I was born…,
3,sub_black,… 오늘은 차마 언어화할 수 없는 끔찍한 생각의 호수에 빠지기도 했다.,… 오늘은 차마 언어화할 수 없는 끔찍한 생각의 호수에 빠지기도 했다.,"… Fell in a lake of thoughts, too horrible to put into words.","… Fell in a lake of thoughts, too horrible to put into words.",
4,sub_smallwave,"달이 지구를 짝사랑하듯, 바다는 달을 짝사랑하려나?","조석: 달의 중력이 지구에 미쳐, 바닷물을 세게 끌어당기며 생기는 현상","Is the sea’s love for the Moon one-sided, the way the Moon’s is for Earth?","<i>tide</i>: the rising and falling of the sea, due to the pull of the Moon",
4,sub_sircello,그리운 첼로 경의 노랫소리. 이 작은 몸으로는 달 여행을 떠날 수 없겠지….,첼로 경에 대한 생각을 했다.\n그 누구와도 공유하지는 못했다.,How I miss Sir Cello's singing. But I’m too small to make it to the Moon… ,Thought about Sir Cello. Failed to share it with anyone.,
4,sub_edison,사실 달나라 송신기의 불빛은 에디슨의 필라멘트를 닮았다!,더욱 멋진 달나라 발명품들을 만들고 있을 에디슨의 모습도 상상해 보았다.,The light from the Radio reminds me of Edison’s filament!,"And I pictured Edison, creating even more brilliant inventions.",
4,sub_doll,인간들은 모두 가지게 된다는 ‘어린 시절’. 나는 언제부터 언제까지 ’어리다‘고 할 수 있는 걸까?,지루함에 파묻혀 침대 밑 구경을\n했다! 인형 친구가 있었다면\n조금 덜 심심했을까?,All humans have a ‘childhood’. How long does that last for something like me?,Peeked under the bed out of sheer boredom! If only I had a doll for company.,
5,sub_flamingo,나의 다리가 플라밍고만큼이나 길었다면 인간 관찰도 훨씬 수월했을 텐데!,혼자 있는 동안 아주 멋진 동물 친구를 흉내 내 보았다. 이름은 모르겠다!,"If my legs were as long as a flamingo’s, human-watching would be so much easier!",Pretended to be a certain magnificent animal while on my own. Name unknown!,
5,sub_lemon,"♫ I wonder how, I wonder why ♫ 흥얼거릴 때마다 상큼하고 우울한 레몬 맛이 나.",레몬에 대한 음악을 새로 알게 되었다. 나의 친구는 음악을 위한 여유가 없었던 것 같지만.…,"<i>♫ I wonder how, I wonder why ♫</i> This tastes like a fresh depressed lemon.",Learned a song about lemons. My friend seemed too busy for it though….,
5,sub_death,엿본 잼 덩어리 속 세계에는 핏물의 비극만. 붉은 꿈은 되고 싶지 않아졌어.…,"길가의 잼 덩어리에서 추악한 세계를 엿보았다. 아, 더는 생각하지 않을래.",The jam-dollop world I glimpsed into dripped of blood. I don’t want to be a red dream any more….,"Glimpsed into a jam-dollop world of nightmares. Oh, I can’t bear to dwell on it.",
5,sub_lamp,다정히 빛나는 이 등불이 우리의 달을 밝혀주기를.,오늘 밤은 쓸쓸히 지나갔다. 등불 같은 달빛이 어둠을 가로질러 찾아오는 밤.,May the kind glow of this lamp cast light on our Moon.,"The night passed in solitude. Moonlight, like light from a lamp, crossed the dark to see me.",
6,sub_black2,그만 화를 내며 나가라고 해 버렸어. 나는 못되고 형편 없는 친구다. 뭉그러져야 할 괴물 같은 마음.,한낮의 침울 속에서 나의 친구와 이야기를 나누고 싶었지. 끝없는 기다림은 나를 더 울적하게 했지만.,"I lashed out at them. I’m a mean, terrible friend. With a monsterous mind.",Daytime melancholy had me miss my friend. The endless wait only made me sadder.,
6,sub_unique,지구의 귀퉁이에 묻은 기이한 검은 점.,유독 혼자인 것 같은 날이 있다. 외로운 검은 점.,A peculiar black dot on the corner of Earth.,There are days when you feel more alone then ever. A lonely black dot.,
6,sub_monster,서로. 우리. 갈증. 이해. 통합. 뒤섞임.\n분절. 단일. 찰나. 공허. 기분. 의지.,괴물 친구… 괴물 친구. <nickname> 역시 괴물이었다면 무언가 달라졌을까?,,Monster… friend. What if <nickname> were a monster too?,
6,sub_spider2,비밀 아이디어: 애벌레 친구와 곰팡이 친구를 만나게 하면 어떨까?,<nickname>에게 친구 관계에 대한 조언을 꼭 듣고 싶었는데.,A secret idea: What if we have the caterpillar and mold meet each other?,I really wanted to ask <nickname> for advice on friendships.,
7,sub_feelings,"흉터를 각오하고 흉을 감내하는 것. 아팠지만, 몸이 터지지는 않았어!",흉터를 각오하고 흉을 감내하는 법. 나의 고군분투를 <nickname>도 지켜보고 있었을까?,"Bracing for cuts and coping with scars. It hurt, but I didn’t burst!",Bracing for cuts and coping with scars. Was <nickname> watching my struggle?,
7,sub_hurtmoon,"그들은 그저 아팠던 거야. 그저 걸었고, 그저 견뎠을 뿐.",성장에 대한 고찰 끝에 서글픈 달 뒤편의 기억이 떠올랐다.,"All they did was hurt. And yet they walked, and yet they endured.","At the end of my contemplation on growth, a sad memory surfaced.",
7,sub_icecream,녹지 않는 아이스크림을 적어도 하나 안다. 그 이름은… <nickname>.,아이스크림을 든 점잖은 꼬마를 만난 이야기를 들려 주지 못했다. 아쉬워!,I know at least one kind of non-melting ice cream… <nickname>.,Didn’t get to tell <name> about the ice cream child. A shame!,
7,sub_dreamcatcher,“드림 캐처”…! 인간들은 달나라 이들의 존재를 무심결에 알고 있었던 걸까?,아아. 자꾸만 그물에 돌돌 감기는 무서운 상상이 드는 건 왜일까?,Dreamcatchers…! Maybe humans subconsciously know about the Moon Beings?,Aaah. Why do I frighten myself with thoughts of being tangled in a net?,
8,sub_affection,"<nickname>, 우린 기꺼이 맨몸으로 방패를 내려 놓은 기사야.",날 가장 깊이 상처 입힐 수 있는 누군가가 내 곁에 있다. 방패는 무용해.,"<nickname>, we are unarmed knights that relinquished our shields.","The one being who can hurt me deeply, just a breath away. Shields are useless.",
8,sub_bigwave,부서지는 파도 아래 눈부신 꿈으로 태어나도록.,파도에 관한 나의 계획은 아무도 모르게 수면 아래 잠들었다.,May I be born again under the crashing waves as a glorious dream.,"My plans for the ocean waves sunk below the surface, unbeknownst to anyone.",
8,sub_timburton,그의 검정과 나의 검정은 은하와 은하만큼의 거리가 있다.,검고 아름다운 영화와 여전히 검고 볼품없는 나.,That shade of black and mine are as far apart as two galaxies.,"Movies, black and beautiful. Me, black and homely as ever.",
8,sub_listen,듣지 않는 상대와 함께 있는 건 혼자일 때보다 더 외로운 일이야.,듣지 않는 상대와 함께 있는 건 혼자일 때보다 더 외로운 일이야.,Being with people who don’t listen is lonelier than being alone.,Being with people who don’t listen is lonelier than being alone.,
