 ,ScriptKey,LineKey,Background,Actor,AnimState,DotAnim,DotExpression,TextType,KorText,EngText,NextLineKey,AnimScene,AfterScript,DeathNote,LocTable,LocKey
1,67,1,main_table,Player,Main,body_cup,face_null,text,뭉치야! 무슨 일이야!,Dot! What’s wrong!,2,,,,Main_Ch12,M12_L0001
1,67,2,main_table,Dot,Main,body_cup,,text,... 아. <nickname>.,... Oh. <nickname>.,3,,,,Main_Ch12,M12_L0002
1,67,3,main_table,Dot,Main,body_cup,,text,이런 모습은 결코 들키고 싶지 않았는데.,I didn’t want you to see me like this.,4,,,,Main_Ch12,M12_L0003
1,67,4,main_table,Dot,Main,body_cup,,text,몸이 녹아서 빠져나올 수가 없었어.,"My body has melted, and I can’t get out.",5,,,,Main_Ch12,M12_L0004
1,67,5,main_table,Player,Main,body_cup,,text,.....,.....,6,,,,Main_Ch12,M12_L0005
1,67,6,main_table,Player,Main,body_cup,,selection,꺼내 줄까?|꺼내 줄게.,Need my help?|I’ll help you.,7|7,,,passive|active,Main_Ch12,M12_L0006
1,67,7,main_table,Dot,Main,body_cup2,,text,"아니, 괜찮아. 처음에는 살이 에이는\n따가움을 느꼈지. 하지만 꽤 무뎌졌어.","No, that’s alright. I don’t want you\ntouching this mushy, sticky stuff.",8,,,,Main_Ch12,M12_L0007
1,67,8,main_table,Dot,Main,body_cup2,,text,게다가 이 물컹한 걸 만지지 않으면 좋겠어.\n네 피부에 이 검정이 옮기라도 한다면... 난 정말이지...,"All this darkness might smear\nyour skin. If that happens, I’d just...",9,,,,Main_Ch12,M12_L0008
1,67,9,main_table,Player,Main,body_cup,,text,body_cup2...,...,10,,,,Main_Ch12,M12_L0009
1,67,10,main_table,Player,Main,body_cup,,text,(괜찮은 게 아니잖아... 당장 꺼내 줘야만 해.),(…This isn’t alright. I need\nto get Dot out of there.),11,,,,Main_Ch12,M12_L0010
1,67,11,main_table,Dot,Main,body_wet1,,text,......,......,12,,,,Main_Ch12,M12_L0011
1,67,12,main_table,Dot,Main,body_wet2,face_squeeze,text,......,......,13,,,,Main_Ch12,M12_L0012
1,67,13,main_table,Dot,Main,body_wet2,face_blink,text,......,......,14,,,,Main_Ch12,M12_L0013
1,67,14,main_table,Player,Main,body_wet2,,selection,... 컵 속에는 왜 들어간 거야?|무슨 일인지 물어봐도 될까.,... Why are you in the cup?|Can I ask what’s going on?,15|15,,,active|passive,Main_Ch12,M12_L0014
1,67,15,main_table,Dot,Main,body_wet2,face_eyeroll3,text,"그러니까, 그러니까...","It’s, it’s...",16,,,,Main_Ch12,M12_L0015
1,67,16,main_table,Dot,Main,body_wet2,face_eyeroll3_stay,text,"오늘 나는... 죽음을, 죽음을 만났어.","I... I met, death, today.",17,,,,Main_Ch12,M12_L0016
1,67,17,main_table,Dot,Main,body_wet2,face_omg,text,소리 없이 하수구 속에 도사리던 ‘죽음’을.,"Death, silently lurking in the sewers.",18,,,,Main_Ch12,M12_L0017
1,67,18,main_table,Player,Main,body_wet2,,text,.....,.....,19,,,,Main_Ch12,M12_L0018
1,67,19,main_table,Player,Main,body_wet2,,text,.....,.....,20,,,,Main_Ch12,M12_L0019
1,67,20,main_table,Dot,Main,body_wet2,,text,"오늘은 그 누구의 꿈도 들여다보고 싶지 않아서,\n홀로 아스팔트 위를 기어다니고 있었어.","I didn’t feel like looking into anyone’s dreams,\nso I was crawling on the asphalt on my own.",21,,,,Main_Ch12,M12_L0020
1,67,21,main_table,Dot,Main,body_wet2,,text,신호등이 두 번 깜빡였던가. 뾰족한 구두가\n옆을 지나갔던가... 아마 그때였을 거야.,"I think the lights blinked twice, or a pointy\nshoe passed by... that’s when it happened.",22,,,,Main_Ch12,M12_L0021
1,67,22,main_table,Dot,Main,body_wet2,,text,내가 하수구 속에 도사리던 ‘죽음’을 만난 것은.,"I met death, lurking in the sewers.",23,1,,,Main_Ch12,M12_L0022
