Main,ScriptKey,LineKey,Background,Actor,AnimState,DotAnim,DotExpression,TextType,EngText,KorText,NextLineKey,AnimScene,AfterScript,DeathNote,LocTable,LocKey
1,13,1,main_web,Dot,Main,body_spiderweb_move,face_blink,text,<nickname>!,<nickname>!,2,,,,Main_Ch3,M3_L0001
1,13,2,main_web,Dot,Main,body_spiderweb,,text,How have you been?,잘 지냈어? 오늘도 들려줄 이야기가 있어!,3,1,,,Main_Ch3,M3_L0002
1,13,3,main_web,Dot,Main,,,text,"<nickname>, would you\nlike to know a secret?","<nickname>, 비밀을 하나 알려 줄까?",4,,,,Main_Ch3,M3_L0003
1,13,4,main_web,Dot,Main,,,text,She wasn’t afraid to show what was under\nher hat. She was looking forward to it.,그녀는 모자 속을 보여 주기를 두려워하지\n않았어. 오히려 기대하고 있었지.,5,,,,Main_Ch3,M3_L0004
1,13,5,main_web,Player,Main,,,text,To what?,무엇을?,6,,,,Main_Ch3,M3_L0005
1,13,6,main_web,Dot,Main,,,text,To someone seeing her\nand all her faces.,누군가가 자신의 모든 면들을 알아봐 주길.,7,,,,Main_Ch3,M3_L0006
1,13,7,main_web,Dot,Main,,,text,And to have each and every\nversion of her understood.,그리고 매번 보여 주는 모습이\n다른 자신이 이해받을 수 있기를.,8,,,,Main_Ch3,M3_L0007
1,13,8,main_web,Dot,Main,,,text,She was waiting for a long time.,오랫동안 기다려 왔던 거야.,9,,,,Main_Ch3,M3_L0008
1,13,9,main_web,Player,Main,,,selection,I wonder how she felt? I’m not sure yet.|I think I understand how she felt.,그건 어떤 마음일까? 아직 잘 모르겠어.|그녀가 어떤 마음이었는지 알 것 같아.,10|12,,,moon|sun,Main_Ch3,M3_L0009
1,13,10,main_web,Dot,Main,,,text,Some desires are hard to fathom.,가늠하기 힘든 갈망이 있지.,11,,,,Main_Ch3,M3_L0010
1,13,11,main_web,Dot,Main,,,text,But I think I understand. I know the feeling.,그런데 난 조금 알 것 같아. 실은 나도 비슷하거든.,14,,,,Main_Ch3,M3_L0011
1,13,12,main_web,Dot,Main,,,text,You have steep edges like that too?,너도 그런 가파른 구석을 가지고 있는 거야?,13,,,,Main_Ch3,M3_L0012
1,13,13,main_web,Dot,Main,,,text,I do too. I know the feeling.,나도 그래. 실은 나도 비슷하거든.,14,,,,Main_Ch3,M3_L0013
1,13,14,main_web,Dot,Main,,,text,I struggle between hoping you won’t discover\nmy vile self and longing for you to draw closer.,"<nickname>, 너에게 내 추악한 몰골을 들키지 않기를\n바라면서 한편으로는 한없이 가까워지길 원하고 있으니.",15,,,,Main_Ch3,M3_L0014
1,13,15,main_web,Dot,Main,,,text,What do I look like to you?\nWhat face do you know me by?,네가 보는 지금의 나는 어때?\n어떤 모습에 가장 가까워?,16,,,,Main_Ch3,M3_L0015
1,13,16,main_web,Player,Main,,,selection4,A chatterbox of an alien being|A black bookworm from the moon|A slightly difficult but special friend|I’m not sure just yet.,수다 떨기를 좋아하는 외계 생명체|달에서 떨어진 검은 책벌레|조금 까다롭지만 특별한 친구|아직은 잘 모르겠어,17|19|21|23,,,,Main_Ch3,M3_L0016
1,13,17,main_web,Dot,Main,,,text,... Really?,... 정말이야?,18,,,,Main_Ch3,M3_L0017
1,13,18,main_web,Dot,Main,,face_eyeroll2,text,"You’re right. A chattering blobby creature,\ndistinctly not human. One of my faces.","맞아. 조잘거리는, 인간이 아닌\n 괴물. 내 모습 중 하나지.",25,,,,Main_Ch3,M3_L0018
1,13,19,main_web,Dot,Main,,face_staryeyes,text,It truly is exquisite to breathe in\nbooks and their many scents.,다채로운 향을 가진 책을 음미하는\n시간은 정말이지 완벽해!,20,,,,Main_Ch3,M3_L0019
1,13,20,main_web,Dot,Main,,,text,And so is talking to a human such as you.,물론 너라는 인간과 대화하는 시간도 마찬가지야.,25,,,,Main_Ch3,M3_L0020
1,13,21,main_web,Dot,Main,,face_eyeroll3,text,... I won’t deny that I’m difficult.,... 내가 까다롭다는 걸 부정하지는 않을게.,22,,,,Main_Ch3,M3_L0021
1,13,22,main_web,Dot,Main,,face_blink,text,"But <nickname>, I’ll always be here\nwaiting whenever you want.","하지만 <nickname>, 네가 원한다면 언제든\n이 자리에서 너를 기다리고 있을 거야.",25,,,,Main_Ch3,M3_L0022
