Main,ScriptKey,LineKey,Background,Actor,AnimState,DotAnim,DotExpression,TextType,KorText,EngText,NextLineKey,AnimScene,AfterScript,DeathNote,LocTable,LocKey
1,25,1,main_door_open,Dot,Main,body_default1,face_blink,text,"나, 오늘은 인간들이 ‘파티’라고\n부르는 곳에 다녀왔어.",Today I went to what\nhumans call a “party.”,2,,,,Main_Ch5,M5_L0001
1,25,2,main_door_open,Player,Main,,,selection,"파티라니! 즐거웠겠네?|윽, 시끄러운 곳은 질색이지만...","A party! Must have been fun, huh?|Ugh. Not really a fan of noisy places...",3|5,,,,Main_Ch5,M5_L0002
1,25,3,main_door_open,Dot,Main,,,text,......,......,4,,,,Main_Ch5,M5_L0003
1,25,4,main_door_open,Player,Main,,,text,뭉치가 좋아하는 인간들이 잔뜩 모인 장소잖아.,It must have been packed with humans. You love humans.,7,,,,Main_Ch5,M5_L0004
1,25,5,main_door_open,Dot,Main,,,text,......,......,6,,,,Main_Ch5,M5_L0005
1,25,6,main_door_open,Player,Main,,,text,혹시 뭉치는 사교적인 괴물이\n되어 즐거운 경험을 하고 온 걸까?,But maybe you had a great time\nas a social monster?,7,,,,Main_Ch5,M5_L0006
1,25,7,main_door_open,Dot,Main,,,text,....... 으음.,...... Well.,8,,,,Main_Ch5,M5_L0007
1,25,8,main_door_open,Dot,Main,,,text,화려하게 치장한 인간들을 구경하는 건 즐거웠어.,It was nice to see humans all dressed up.,9,,,,Main_Ch5,M5_L0008
1,25,9,main_door_open,Dot,Main,,,text,박자가 튀는 노래가 들리고 쏟아지는 갈채가 보였지.,I heard the thumping beat\nand the thunderous applause.,10,,,,Main_Ch5,M5_L0009
1,25,10,main_door_open,Dot,Main,,face_eyeroll2,text,또... 또... 자리에 모인 모두가 행복해 보였어.,And... and everybody looked happy.,11,,,,Main_Ch5,M5_L0010
1,25,11,main_door_open,Player,Main,,face_blink,text,...... 하지만?,...... But?,12,,,,Main_Ch5,M5_L0011
1,25,12,main_door_open,Dot,Main,,,text,네가 내 다음 말이 ‘하지만’일 거라\n맞혀 준 것이 정말로 기뻐.,I’m glad you sensed my next\nwords would start with a “but.”,13,,,,Main_Ch5,M5_L0012
1,25,13,main_door_open,Dot,Main,,,text,다만 끔찍하게도... 내가 그 기쁨을 맛보기엔 너무...,I wanted to be happy\nwith them. But I was too...,14,,,,Main_Ch5,M5_L0013
1,25,14,main_door_open,Dot,Main,,,text,너무도...,Too...,15,,,,Main_Ch5,M5_L0014
1,25,15,main_door_open,Dot,Main,,,text,.......,.......,16,,,,Main_Ch5,M5_L0015
1,25,16,main_door_open,Player,Main,,,text,...... 뭉치야?,...... Dot?,17,,,,Main_Ch5,M5_L0016
1,25,17,main_door_open,Dot,Main,,face_omg,text,....... 이런. ‘숨이 잘 쉬어지지 않아’.,....... Oh dear. ‘It’s hard to breathe.’,18,,,,Main_Ch5,M5_L0017
1,25,18,main_door_open,Dot,Main,,face_omg,text,.......,.......,19,,,,Main_Ch5,M5_L0018
1,25,19,main_door_open,Player,Main,,face_omg,text,(동물 병원에라도 데려가야 하나?),(Should I take Dot to a vet?),20,,,,Main_Ch5,M5_L0019
1,25,20,main_door_open,Dot,Main,,face_omg,text,몸속 모든 점액질이 진공 상태의\n혼돈 속에서 소용돌이치는 기분이야.,My gooey insides are\nswirling in a vacuum of chaos.,21,,,,Main_Ch5,M5_L0020
1,25,21,main_door_open,Player,Main,,face_omg,text,(점액질 괴물의 신체에 대해 아는\n동물 병원이 있을 리가 없잖아! 어쩌지?),(No vet in the world is qualified to\ntreat gooey monsters! What now?),22,,,,Main_Ch5,M5_L0021
1,25,22,main_door_open,Player,Main,,face_omg,text,대체 파티에서 어떤 일이 일어났던 거야?\n다치기라도 한 건 아니지?,"What happened at the party?\nYou weren’t hurt, were you?",23,,,,Main_Ch5,M5_L0022
1,25,23,main_door_open,Dot,Main,,face_omg,text,.......,.......,24,,,,Main_Ch5,M5_L0023
1,25,24,main_door_open,Dot,Main,,face_blink,text,다치다....,Hurt....,25,,,,Main_Ch5,M5_L0024
1,25,25,main_door_open,Dot,Main,,,text,다치다. 빨간 머리의 소녀는\n다칠 기회조차 빼앗겼는걸.,Hurt. But the red-headed girl is now\ntoo far away for anything to hurt her.,26,,,,Main_Ch5,M5_L0025
1,25,26,main_door_open,Dot,Main,,,text,"그렇게 반짝거리고, 혼란스럽고,\n비정한 광경은 처음이었어.","I never saw a scene so glittering,\ndizzying, and utterly cold-blooded.",27,,,,Main_Ch5,M5_L0026
1,25,27,main_door_open,Dot,Main,,face_eyeroll3,text,... 나의 작은 머리로는\n도저히 납득할 수가 없을 정도로.,... I couldn’t wrap my\nsmall head around it.,28,,,,Main_Ch5,M5_L0027
1,25,28,main_door_open,Dot,Main,,face_blink,text,... 그녀는 알았을까?,... Did she know?,29,1,,,Main_Ch5,M5_L0028
1,25,29,main_door_open,Dot,Main,,,text,"여느 때와 다름없는 하루에, 여느 때와 다름없이\n80년대 명반에 맞춰 왈츠를 추던 찰나","That on an absolutely normal day,\nwhile waltzing to a 80s hit track",30,,,,Main_Ch5,M5_L0029
