Start Time,End Time,KorText,EngText
00:00:00:09,00:00:04:10,프롤로그: 달의 뒤편 이야기,
00:00:04:16,00:00:07:16,혹은... 모든 것의 시작,
00:00:09:23,00:00:15:12,달의 뒤편에 한 소년이 살았습니다. 소년의 이름은 레드.,On the dark side of the Moon lived a boy named Red. 
00:00:15:13,00:00:21:13,"그는 인간의 꿈이 만들어지는 환상적인 공간, ‘달나라 꿈 공장’에서 일했습니다.","He worked at the Dream Factory, a wondrous place dedicated to crafting human dreams. "
00:00:21:18,00:00:27:01,매일 밤이면 사랑하는 인간들의 하루가 레드에게 도착했고,"Every night, Red received the newly updated memory of his humans’ day. "
00:00:27:10,00:00:33:07,그 중 가장 선명하고 의미 있는 기억들을 골라 꿈 기계에 넣으면,From them he carefully selected the boldest moments to feed into the dream machine. 
00:00:34:02,00:00:40:07,색색깔의 꿈 구슬 다섯 개가 ‘반짝’ 하며 튀어나왔죠.,"And with a soft twinkle, the machine popped out five fresh, vibrant dreams. "
00:00:41:21,00:00:46:22,레드의 역할은 단지 꿈을 만드는 데에 그치지 않았어요. 그는 인간의 수호자기도 했습니다.,But Red’s task was not just to create—it was to protect. 
00:00:46:23,00:00:52:11,단 하나의 ‘불량 꿈’이라도 인간의 영혼을 오염시킬 수 있었기 때문이죠.,For even a single rotten dream could poison the human soul. 
00:00:53:20,00:00:59:04,"레드는 그의 인간들을, 그리고 달나라 꿈 공장에서의 모든 순간들을 너무나도 아꼈습니다.",Red cherished his humans and every minute spent at the Dream Factory.
00:01:01:10,00:01:06:16,"그러나 어느 안개가 짙었던 밤, 한 ‘불량 꿈’이 레드의 손틈으로 빠져나가며","But one foggy night, a defective dream slipped past Red’s fingers,"
00:01:07:11,00:01:10:15,한 인간의 영혼을 완전히 망가뜨렸고,darkening his human’s soul beyond repair. 
00:01:10:15,00:01:13:18,레드는 그저 바라만 볼 수밖에 없었답니다.,And Red could only watch as his dear human
00:01:13:18,00:01:16:18,그의 소중한 인간이,walked and sank
00:01:16:18,00:01:20:11,죽음의 깊고 차가운 심연으로 걸어들어가는 것을요.,into the deep cold void of death. 
00:01:23:22,00:01:25:14,다른 모든 실패자들과 다름없이...,"Like all the other failures before him,"
00:01:25:14,00:01:28:18,레드 역시 ‘크레이터’로 추방되었습니다.,"Red was cast out to the Crater,"
00:01:28:18,00:01:31:18,그곳은 폐기된 꿈들이 모이는 거대한 웅덩이.,a giant pit of shattered nightmares. 
