StartTime,EndTime,KorText,EngText
00:00:00:00,00:00:03:09,그는 세모난 가족들 사이의 동그란 사람.,He was a circular man in an otherwise triangular family.
00:00:03:15,00:00:06:12,얼굴엔 언제부터인가 구멍이 뻥 뚫려 있었나 봐.,His face had an evident hole in it.
00:00:07:09,00:00:10:09,그래서 그는 구슬을 만드는 일을 했어.,So his goal was to make marbles.
00:00:10:09,00:00:13:12,쉬운 일은 아니었지. 완벽하게 꼭 들어맞는 구슬이어야만 했으니.,It was not an easy goal to achieve. His marble had to fit perfectly.
00:00:13:12,00:00:15:28,그는 집착적으로 매달렸어. 밤낮없이 도리없이 기약없이 매진했어.,"He clung to the task. Night and day, relentless and endless."
00:00:15:28,00:00:17:25,"마침내, 만들어 냈지만...","Finally, he did it but…"
00:00:19:01,00:00:20:07,에구.,Alas.
00:00:20:07,00:00:24:03,낙심한 그는 다른 방법을 찾았지. 사랑을 찾아다니기로 한 거야.,"In his disappointment, he went down a different path. He started to look for love."
00:00:24:03,00:00:27:29,‘사랑하면 사탕을 줘.’,"“If you love me, give me your candy.”"
00:00:29:28,00:00:33:24,‘사랑하면 눈알을 줘.’,"“If you love me, give me your eyeball.”"
00:00:34:07,00:00:38:06,‘사랑하면 너의 동그란 심장을 줘.’,"“If you love me, give me your round heart.”"
00:00:38:18,00:00:40:29,그러나 녹록지 않았지.,But it was not easy.
00:00:40:29,00:00:44:07,‘네 심장조차 나의 구멍에 딱 맞지 않잖아. 그럼 너는 날 사랑하지 않는 거야.’,"“Even your heart doesn’t fit my hole. You never really loved me, did you?”"
00:00:44:07,00:00:46:17,실연의 아픔에 젖은 채 그는 떠났어.,"Devastated, he left."
00:00:46:17,00:00:50:10,"이제 그는 그만의 동그란 공백에 갇혀, 탐욕스럽게 세상의 모든 동그라미들을 삼켰어.","Now stuck in his own circular trap, he greedily swallowed all the circles of the world. "
00:00:50:10,00:00:53:26,뭐 하나는 들어맞을 수도 있겠다는 생각이었을까. 그런 그에게서 느껴지는 것은,"Perhaps he thought at least one must fit. What he radiated was,"
00:00:53:26,00:00:56:24,공허한 연민. 비대한 욕심. 처절한 허기.,Blank empathy. Engorged greed. Desperate hunger.
00:00:56:24,00:01:00:21,어느 날 그는 세상의 끝에 서서 동그란 태양을 바라보았어.,"One day, he stood and stared at the circular sun. "
00:01:00:21,00:01:04:20,태양을 삼키기 위해서.,To dare… consume it.
00:01:09:18,00:01:13:20,"육체가 분신하다 녹아내리고 난 후, 그 자리에 집념의 산물만이 남았어.","After he was burned to the ground, all that was left of his fixation was—"
00:01:15:12,00:01:18:20,오직 텅 빈 구멍만이.,an empty hole.
