StartTime,EndTime,KorText,EngText
00;00;00;00,00;00;04;27,오늘은 하얀 모자가 눈에 띄는 멋진 사람을 만나고 왔어.,I met a person with a charming white hat.
00;00;04;27,00;00;08;11,어느 순간에는 사자처럼 용맹하며 무모했고,Brave and brash as a lion one moment
00;00;08;11,00;00;11;12,어느 순간에는 조용하고 신중한 철학자 같았지.,and quiet and prudent as a scholar the next.
00;00;11;12,00;00;14;25,"그래... 내가 본 '하얀 모자'는 매일 매일 다른 모습으로 살아가는 사람이었어.",Indeed. The White Hat had a different face day after day.
00;00;14;25,00;00;18;03,그러다 그녀가 타인과 다투는 소리를 들었어. 어쩌면 그녀의 친구였을까?,Then I heard her being confronted by someone... perhaps her friend?
00;00;18;03,00;00;21;04,네 속을 한 치도 모르겠어. 대체 네 본성이 뭐야? 뭐가 진짜인 거야!,You're someone different every day! Which one's the real you?
00;00;21;04,00;00;23;22,그 말을 들은 하얀 모자는 자신의 집으로 상대를 이끌었어.,Instead of answering... she led the person to her home.
00;00;23;22,00;00;26;20,둘은 집안 깊숙한 곳에 있던 거울 앞에 섰고... 하얀 모자는 그녀의 모자를 벗었지.,"They stood in front of a mirror. Then, slowly... the White Hat took off her hat."
00;00;26;20,00;00;28;16,그렇게 하얀 모자의 수많은 머리들이 드러났어.,And revealed her myriad heads.
00;00;28;16,00;00;30;28,"“모두가 진짜야!”" 그들은 자유롭게 포효하며 빙글빙글 돌아갔지!,“ALL are real!” they roared and whirled with abandon!
00;00;33;02,00;00;35;13,그녀의 친구는 겁에 질려 도망쳐 버렸고,The friend ran home in terror
00;00;36;15,00;00;39;15,그의 빈자리를 바라보는 그녀의 뒷모습은,and the White Hat now alone
00;00;39;15,00;00;44;03,왜인지 쓸쓸해 보였어.,seemed somehow sad.
