Sub,ScriptNumber,LineKey,Color,Actor,AnimState,DotAnim,TextType,EngText,KorText,NextLineKey,DeathNote,AfterScript,Exeption,LocTable,LocKey
1,27,1,1,Dot,Sub,anim_eyesblink,text,<nickname>!,<nickname>!,2,,,,Sub_Ch5,S5_L0001
1,27,2,1,Dot,Sub,,text,I saw the most peculiar person on TV.,티비에서 이상하게 생긴 인간을 봤어.,3,,,,Sub_Ch5,S5_L0002
1,27,3,1,Dot,Sub,,text,"One head, one body and\ntwo legs just like everyone else...","똑같이 머리도 하나, 몸도\n하나, 다리도 두 개였지만...",4,,,,Sub_Ch5,S5_L0003
1,27,4,1,Dot,Sub,,text,"But their neck was as long as a pipe,\nand their head as small as a pea.","목은 가로등처럼 길었고,\n머리는 완두콩만큼 작았어.",5,,,,Sub_Ch5,S5_L0004
1,27,5,1,Dot,Default,anim_move,text,"Their body was bloated and\nround like a beach ball,","몸통은 체형에 비해 비대하게 둥글었고,",6,,,,Sub_Ch5,S5_L0005
1,27,6,1,Dot,Sub,anim_eyesblink,text,and their legs were like twigs\na second away from snapping.,다리는 부서지기 직전의\n나뭇가지처럼 앙상했지.,7,,,,Sub_Ch5,S5_L0006
1,27,7,1,Dot,Default,anim_bounce,text,And! And!,그리고! 그리고!,8,,,,Sub_Ch5,S5_L0007
1,27,8,1,Dot,Sub,anim_eyesblink,text,They were a most fruity and\nrefreshing shade of pink!,아주 상큼한 맛이 나는\n분홍빛을 띄고 있었어!,9,,,,Sub_Ch5,S5_L0008
1,27,9,1,Player,Sub,,text,Um... I don’t follow.\nYou said they were human?,어... 잘 모르겠다. 인간이었다고?,10,,,,Sub_Ch5,S5_L0009
1,27,10,1,Player,Sub,,text,Could you draw them for me?,그림이라도 그려 줄래?,11,,,,Sub_Ch5,S5_L0010
1,27,11,1,Dot,Sub,anim_eyesdown_turn,text,Hmm... Hmm! I’m not really a painter...,음... 음. 그림엔 소질이 없는데.,12,,,,Sub_Ch5,S5_L0011
1,27,12,1,Dot,Sub,anim_eyesblink,text,How about this?,대신 이건 어때?,13,,,,Sub_Ch5,S5_L0012
1,27,13,1,Dot,Sub,anim_sub_dottoflamingo,text,They looked like this.,이렇게 생겼었는데.,14,,,,Sub_Ch5,S5_L0013
1,27,14,1,Dot,Sub,anim_sub_flamingo,text,I can’t recreate that beautiful pink...,그의 아름다운 분홍빛이\n결여되어 있다는 것만 제외하면...,15,,,,Sub_Ch5,S5_L0014
1,27,15,1,Dot,Sub,,text,but I guess this will do.,그런 대로 비슷한 것 같아.,16,,,,Sub_Ch5,S5_L0015
1,27,16,1,Dot,Sub,,text,Where on earth do these\npeople come from?,이런 인간은 어디에 사는 어떤 인간이야?,17,,,,Sub_Ch5,S5_L0016
1,27,17,1,Player,Sub,,text,"Haha, Dot! That’s not a person!\nThat’s what we call a ’flamingo’.","하하, 뭉치! 그건 인간이 아니야!\n플라밍고라는 새를 본 것 같은데?",18,,,,Sub_Ch5,S5_L0017
1,27,18,1,Dot,Sub,anim_sub_flamingotodot,text,A flamingo? So they aren’t human?,플라밍고? 인간이 아니야?,19,,,,Sub_Ch5,S5_L0018
1,27,19,1,Dot,Sub,anim_eyesblink,text,Oh! Oh my.,"어, 부끄러워.",,,anim_eyesup,,Sub_Ch5,S5_L0019
2,28,20,1,Dot,Default,anim_bounce,text,"♫ I wonder how, I wonder why ♫","♫ I wonder how, I wonder why ♫",21,,,,Sub_Ch5,S5_L0020
2,28,21,1,Dot,Default,,text,"♫ Yesterday, you told me\n’bout the blue, blue sky ♫","♫ Yesterday, you told me\n’bout the blue, blue sky ♫",22,,,,Sub_Ch5,S5_L0021
2,28,22,1,Dot,Default,,text,♫ And all that I can see is\njust a yellow lemon tree ♫,♫ And all that I can see is\njust a yellow lemon tree ♫,23,,,,Sub_Ch5,S5_L0022
2,28,23,1,Player,Default,,selection,Is that a new song you learned?|I see a great singer in the making.,"뭉치, 새로 배운 노래야?|멋진 가수의 새싹이 자라고 있군.",24|25,passive|active,,,Sub_Ch5,S5_L0023
2,28,24,1,Dot,Sub,anim_eyesblink,text,"Yes, it’s called “Lemon Tree.”","응, “레몬 트리”라는 노래야.",26,,,,Sub_Ch5,S5_L0024
2,28,25,1,Dot,Sub,,text,"The song is called “Lemon Tree”,\nand it’s going to be my ticket to stardom.",날 팝 스타로 만들어 줄 이 곡은 \n“레몬 트리”라는 이름을 가지고 있어.,26,,,,Sub_Ch5,S5_L0025
2,28,26,1,Dot,Sub,,text,I’m not sure what the lyrics\nare about but it sounds nice!,가사가 무슨 뜻인진\n잘 모르겠지만 듣기 좋아!,27,,,,Sub_Ch5,S5_L0026
2,28,27,1,Dot,Sub,,text,I think I’d like lemons. I heard that\nthey taste like... sharp sparkles!,난 분명 레몬을 좋아했을 거야.\n날카롭게 반짝이는 맛이라고 들었거든!,28,,,,Sub_Ch5,S5_L0027
2,28,28,1,Player,Sub,,text,You may be talking about the taste “sour.”,그걸 “신맛”이라고 표현해.,29,,,,Sub_Ch5,S5_L0028
2,28,29,1,Player,Sub,,text,"Also, um... I’ve heard the lemons\nin the lyrics symbolize melancholy?","그리고, 음... 사실 노래 가사 속\n레몬은 우울을 상징할걸?",30,,,,Sub_Ch5,S5_L0029
2,28,30,1,Dot,Default,anim_move,text,What?!,뭐라고?!,31,,,,Sub_Ch5,S5_L0030
2,28,31,1,Dot,Sub,anim_eyesblink,text,...,...,32,,,,Sub_Ch5,S5_L0031
2,28,32,1,Dot,Default,anim_move,text,Oh wow. I didn’t even notice. I didn’t\ncatch any of that on my tongue.,우와. 눈치조차 못 챘어. 혀끝에\n어떠한 감각도 없었단 말이야.,33,,,,Sub_Ch5,S5_L0032
2,28,33,1,Player,Sub,anim_eyesblink,text,...,...,34,,,,Sub_Ch5,S5_L0033
2,28,34,1,Dot,Sub,,text,"Why? Is it because lemons are sour,\nor because they’re yellow?","왜일까? 레몬이 신맛이어서,\n아니면 노란색이어서?",35,,,,Sub_Ch5,S5_L0034
2,28,35,1,Dot,Sub,,text,"Oh, oh! I think I figured it out!","아, 아! 알겠어!",36,,,,Sub_Ch5,S5_L0035
2,28,36,1,Dot,Sub,anim_eyesup_turn,text,"Well, one time while gazing up at the sun\nI wanted to be in its gentle embrace","으음, 한 번은 태양을 올려다보며\n그의 자애로운 온기에 안겨 있고 싶어져서",37,,,,Sub_Ch5,S5_L0036
2,28,37,1,Dot,Sub,anim_eyesup,text,"so I tried to rub my\ncheek against its surface,","햇살 표면에 내 볼을 슬며시\n부비적거려 본 적이 있었는데,",38,,,,Sub_Ch5,S5_L0037
2,28,38,1,Dot,Default,anim_eyesside,text,"but its lemon-yellow rays beat down\non me and it thundered at me,",그는 레몬과 같은 노란빛의 햇살로\n나를 따갑게 내리쬐며 호통을 쳤지.,39,,,,Sub_Ch5,S5_L0038
2,28,39,1,Dot,Sub,anim_move,text,“How dare you!” And I... I had no choice\nbut to flee into the damp shadows.,“감히 네가 어디를!” 난 그저... 축축한\n그림자 속으로 도망칠 수밖에 없었어.,40,,,,Sub_Ch5,S5_L0039
2,28,40,1,Dot,Default,anim_eyesdown_turn,text,Lemons must be\nthe fruit of rejection.,레몬은 거부의 과일인 게 분명해.,41,,,,Sub_Ch5,S5_L0040
2,28,41,1,Player,Default,anim_eyesdown,text,Mm...,음...,42,,,,Sub_Ch5,S5_L0041
2,28,42,1,Player,Default,,text,Experiences make us think a\ncertain way about each thing.,제각각의 경험은 특정한 것에 대해\n특정한 방식으로 생각하게 할 때가 있어.,43,,,,Sub_Ch5,S5_L0042
2,28,43,1,Player,Default,,text,It’s because memories are subjective!,기억은 주관적이거든!,44,,,,Sub_Ch5,S5_L0043
2,28,44,1,Dot,Sub,anim_eyesblink,text,Subjective?,주관적인 기억?,45,,,,Sub_Ch5,S5_L0044
2,28,45,1,Player,Sub,,text,"See, you feel a sense of\nrejection from lemons.","봐, 레몬을 생각하면 뭉치는\n거부당하는 느낌이 들잖아.",46,,,,Sub_Ch5,S5_L0045
2,28,46,1,Player,Sub,,text,But others feel\ndifferently about it.,하지만 다르게 생각하는 사람들도 있어.,47,,,,Sub_Ch5,S5_L0046
2,28,47,1,Dot,Sub,,text,"Really? Wait, what do\nyou think of lemons?","정말? 잠깐, 그럼 <nickname> 너는\n레몬을 생각하면 어떤 느낌이 들어?",48,,,,Sub_Ch5,S5_L0047
2,28,48,1,Player,Sub,,textbox,"To me, lemons are...",레몬은 나에게......,49,,,,Sub_Ch5,S5_L0048
2,28,49,1,Dot,Sub,anim_eyescorner_turn,text,Huh.,그렇구나.,50,,,,Sub_Ch5,S5_L0049
2,28,50,1,Dot,Sub,anim_eyesblink,text,I understand. Lemons really\ncould be all these things.,이해했어. 레몬은 정말\n수많은 것들이 될 수 있겠어.,51,,,,Sub_Ch5,S5_L0050
2,28,51,1,Dot,Default,anim_eyesdown_turn,text,So this singer must have had\na gloomy experience with lemons.,그럼 이 가수는 레몬과\n관련된 나쁜 일을 겪었겠구나.,52,,,,Sub_Ch5,S5_L0051
2,28,52,1,Player,Default,anim_eyesdown,text,"Perhaps, maybe.",그렇지. 정말 그럴지도 몰라.,53,,,,Sub_Ch5,S5_L0052
2,28,53,1,Dot,Default,anim_eyescorner,text,Hm...,으음...,54,,,,Sub_Ch5,S5_L0053
2,28,54,1,Dot,Default,anim_eyesblink,text,I wonder what made lemons\ntaste like melancholy for this person.,왜 이 사람의 레몬은\n우울한 맛이 나게 되었을까?,55,,,,Sub_Ch5,S5_L0054
2,28,55,1,Dot,Sub,,text,"Ah, I think I see it.","아, 알 것 같아.",56,,,,Sub_Ch5,S5_L0055
2,28,56,1,Dot,Sub,,text,Maybe he had a lemon drop in his mouth\nthe last time he ever saw his best friend.,어쩌면 가장 친한 친구를 마지막으로 봤을 때\n하필이면 레몬 사탕을 물고 있었을지도...,57,,,,Sub_Ch5,S5_L0056
2,28,57,1,Player,Sub,,text,"Maybe he once bit into a rotten lemon,\ngifted to him by a bunch of bullies.",어쩌면 못된 녀석들이 쥐여 준 썩은 레몬을\n 베어 문 적이 있었을지도...,58,,,,Sub_Ch5,S5_L0057
2,28,58,1,Dot,Sub,,text,Maybe he was once chased by\na gigantic lemon in his dreams,어쩌면 거대한 레몬에게 쫓기는\n꿈을 꾼 직후의 아침이었을지도...,59,,,,Sub_Ch5,S5_L0058
2,28,59,1,Player,Sub,,textbox,Maybe... ,어쩌면... ,60,,,,Sub_Ch5,S5_L0059
2,28,60,1,Dot,Default,anim_eyesup,text,Maybe...,어쩌면...,61,,,,Sub_Ch5,S5_L0060
2,28,61,1,Dot,Default,anim_eyesblink,text,Maybe.,어쩌면.,,,,,Sub_Ch5,S5_L0061
3,29,62,0,Dot,Sub,anim_eyesblink,text,"Today I looked down at a dark red,\nsour blob of jam on the sidewalk,","오늘은 도시 바닥에 떨어진,\n누군가의 샌드위치에서 흘러 나왔을",63,,,,Sub_Ch5,S5_L0062
3,29,63,0,Dot,Sub,,text,"that might have fallen out of\nsomeone’s sandwich, and thought,",검붉고 시큼한 잼 덩어리를 바라보다가,64,,,,Sub_Ch5,S5_L0063
3,29,64,0,Dot,Sub,,text,‘I was born from something sort of\nlike that... dark and sticky and inedible;’,‘나도 비슷할지 모르는 잼 덩어리에서\n태어났는데... 검고 끈적이고 먹을 수 없고’,65,,,,Sub_Ch5,S5_L0064
3,29,65,0,Dot,Sub,,text,‘a putrid kind of jam.’,‘아무래도 역한 맛이 날 것 같은 잼.’,66,,,,Sub_Ch5,S5_L0065
3,29,66,0,Dot,Sub,,text,"And then I blinked, and\nI was sucked into it.",생각하며 눈 깜빡 감았다 떴는데\n그 속으로 빨려들어가 버렸어.,67,,,,Sub_Ch5,S5_L0066
3,29,67,0,Dot,Sub,anim_omg,text,Into a nightmare of a world.,악몽 같은 세상이었어.,68,,,,Sub_Ch5,S5_L0067
3,29,68,0,Dot,Sub,anim_eyesblink,text,"Everything was red, like looking\nthrough red cellophane.","붉은 셀로판지로 바라본 것처럼,\n모든 것이 붉었고.",69,,,,Sub_Ch5,S5_L0068
3,29,69,0,Player,Sub,,selection,(A world soaked with crimson blood.)|(A world soaked with raspberry juice.),(새빨간 피로 물든 세상이 떠올라.)|(산딸기 즙으로 절여진 세상이 떠올라.),70|95,moon|sun,,,Sub_Ch5,S5_L0069
3,29,70,0,Dot,Sub,,text,It was like being inside\nan ancient myth.,오랜 신화 속이었던 것 같아.,71,,,,Sub_Ch5,S5_L0070
3,29,71,0,Dot,Sub,,text,"A giant lay on the ground,\nstabbed by a brave warrior’s sword.",용맹한 전사의 칼에 찔려\n죽은 거인이 누워 있었어.,72,,,,Sub_Ch5,S5_L0071
3,29,72,0,Dot,Sub,,text,"Its bloodshot eyes gazed\nat the red, rancid stream","그는 핏발 선 눈을 하고, 자기 목에서\n솟구치는 시뻘겋고 비릿한 물줄기를",73,,,,Sub_Ch5,S5_L0072
3,29,73,0,Dot,Sub,,text,spurting from its throat.,그저 바라만 보았어.,74,,,,Sub_Ch5,S5_L0073
3,29,74,0,Dot,Sub,,text,"A violent, yet silent red.","격렬하지만 고요한 붉음이었어,",75,,,,Sub_Ch5,S5_L0074
3,29,75,0,Dot,Sub,,text,Everyone cheered at the giant’s\ndeath but it remained mute.,모두가 거인의 죽음에 환호했지만\n오직 그만은 말이 없었지.,76,,,,Sub_Ch5,S5_L0075
3,29,76,0,Dot,Sub,,text,"It looked at the roaring warrior and\nthe worshipping townsfolk, and said—","그는 가슴을 내밀고 포효하는 전사와\n그를 숭배하는 마을 사람들을 바라보다가,",77,,,,Sub_Ch5,S5_L0076
3,29,77,0,Dot,Default,anim_wide,text,I never asked to be born this big.,커다랗게 태어나고 싶지 않았는데 말이에요.,78,,,,Sub_Ch5,S5_L0077
3,29,78,0,Dot,Default,,text,Next time I’ll be reborn as a small\nraspberry. Mama. Mama. It hurts.,다음에는 아주 작고 올망졸망한\n산딸기로 태어나야지. 엄마. 엄마. 아파요.,79,,,,Sub_Ch5,S5_L0078
3,29,79,0,Dot,Default,,text,Mama. I’m scared.,엄마. 무서워요.,80,,,,Sub_Ch5,S5_L0079
3,29,80,0,Dot,Default,anim_eyesblink,text,— and slipped and fell down the cliff.,하며 절벽 아래로 미끄러져 떨어졌어.,81,,,,Sub_Ch5,S5_L0080
3,29,81,0,Dot,Default,,text,Oh.,아.,82,,,,Sub_Ch5,S5_L0081
3,29,82,0,Dot,Default,anim_eyesdown_turn,text,Oh.,아.,83,,,,Sub_Ch5,S5_L0082
3,29,83,0,Dot,Default,anim_eyesdown,text,"That day on the Moon, staring into\nspace and awaiting my death sentence,","사실 달에서의 그날, 우주를 바라보며\n사형 집행을 기다리던 그날",84,,,,Sub_Ch5,S5_L0083
3,29,84,0,Dot,Default,,text,I was that giant.,그날은 나도 거인이었지.,85,,,,Sub_Ch5,S5_L0084
3,29,85,0,Dot,Default,,text,A giant falling into space.,우주로 떨어지는 떨어지는 거인이었어.,86,,,,Sub_Ch5,S5_L0085
3,29,86,0,Dot,Sub,anim_eyesblink,text,......,......,87,,,,Sub_Ch5,S5_L0086
3,29,87,0,Dot,Default,,text,"I know its fear. Its sorrow,\nits confusion,","그의 공포를 알아. 그의 설움을, 혼란을,",88,,,,Sub_Ch5,S5_L0087
3,29,88,0,Dot,Default,,text,the feel of the darkness\ncrawling in the thick void.,짙은 허공 속 우글거리던\n암흑의 감각을 알아.,89,,,,Sub_Ch5,S5_L0088
3,29,89,0,Dot,Default,,text,"I never asked to be born in that\npitch black pit of all places, either.",나도 그 시커먼 구덩이 속에서만큼은\n태어나고 싶지 않았는데 말이야.,90,,,,Sub_Ch5,S5_L0089
3,29,90,0,Dot,Default,anim_omg,text,"I wanted to be round and\npretty, like a color, like a dream.","동그랗고 예쁘게, 색처럼, 꿈처럼.",91,,,,Sub_Ch5,S5_L0090
3,29,91,0,Dot,Default,anim_eyesblink,text,I really really did.,정말이지 그렇게 태어나고\n싶었는데 말이야.,92,,,,Sub_Ch5,S5_L0091
3,29,92,0,Dot,Sub,,text,"With no one to hold onto, all I could do\nwas gaze into space.",붙잡을 사람 하나 없이\n우주를 바라만 바라만 보았어.,93,,,,Sub_Ch5,S5_L0092
3,29,93,0,Dot,Sub,,text,"And like the giant staring at the rancid\nred stream with its bloodshot eyes,","핏발 선 눈을 하고, 목에서 솟구치는 시뻘겋고\n 비릿한 물줄기를 바라보던 거인처럼",94,,,,Sub_Ch5,S5_L0093
3,29,94,0,Dot,Sub,,text,I tried to stomach everything\nI felt in a single swallow.,모든 모든 마음을 한입에\n삼켜 보려 노력하면서.,,,,,Sub_Ch5,S5_L0094
