Sub,ScriptNumber,LineKey,Color,Actor,AnimState,DotAnim,TextType,KorText,EngText,NextLineKey,DeathNote,AfterScript,Exeption,LocTable,LocKey
1,51,1,0,Dot,Sub,anim_sub_deadbug1,text,날파리다.,A fruit fly.,2,,,,Sub_Ch9,S9_L0001
1,51,2,0,Dot,Sub,anim_sub_deadbug1,text,"안녕, 날파리.","Hello, fruit fly.",3,,,,Sub_Ch9,S9_L0002
1,51,3,0,Dot,Sub,anim_sub_deadbug1,text,오늘은 색다르구나. 잠잠히 흔들리고 있네.\n모처럼 너를 낱낱이 뜯어볼 수 있어 기뻐.,You seem different today. You sway silently.\nI’m glad I have this chance to scrutinize you.,4,,,,Sub_Ch9,S9_L0003
1,51,4,0,Dot,Sub,anim_sub_deadbug1,text,늘 빠르고 생기 있게 날아다니는 너의\n뒤꽁무니만 간신히 좇아야 했거든.,"I’ve struggled to keep up with\nyou, swift and vibrant in the air.",5,,,,Sub_Ch9,S9_L0004
1,51,5,0,Dot,Sub,anim_sub_deadbug1,text,어? 뭐라고 했어?,Hmm? What’s that?,6,,,,Sub_Ch9,S9_L0005
1,51,6,0,Dot,Sub,anim_sub_deadbug1,text,음? 아닌가. 어...,Oh? I guess I misheard. Well...,7,,,,Sub_Ch9,S9_L0006
1,51,7,0,Player,Sub,anim_sub_deadbug1,text,... 뭉치야?,... Dot?,8,,,,Sub_Ch9,S9_L0007
1,51,8,0,Dot,Sub,anim_sub_deadbug2,text,<nickname>! 어느새 와 있었구나.,<nickname>!\nI didn’t notice you there.,9,,,,Sub_Ch9,S9_L0008
1,51,9,0,Dot,Sub,anim_sub_deadbug2,text,"날파리는 원래 말을 못 해, <nickname>?",Do fruit flies normally not talk?,10,,,,Sub_Ch9,S9_L0009
1,51,10,0,Player,Sub,anim_sub_deadbug2,text,"글쎄, 인간과는 소통이 안 되지. 언어가\n통하지 않거나, 목소리가 너무 작...... 어라.","Well, not with humans. We speak different\nlanguages, or maybe their voices are too... huh.",11,,,,Sub_Ch9,S9_L0010
1,51,11,0,Player,Sub,anim_sub_deadbug2,text,어......?,Oh......?,12,,,,Sub_Ch9,S9_L0011
1,51,12,0,Player,Sub,anim_sub_deadbug2,text,(저 친구는 죽어 있는 거잖아.),(It’s dead.),13,,,,Sub_Ch9,S9_L0012
1,51,13,0,Player,Sub,anim_sub_deadbug2,selection,(뭉치를 속일 순 없어. 날파리의 시체란 걸 알려 줘야 해.)|(더는 상처받지 않도록 부드럽게 돌려 말하자.),"(Tell Dot the truth, that it’s not alive.)|(Break it to Dot gently, lest Dot’ll be hurt.)",14|15,moon|sun,,,Sub_Ch9,S9_L0013
1,51,14,0,Player,Sub,anim_sub_deadbug2,text,어... 말을 못 하는 게 아니라. 죽은 것 같아.,Well... I think it’s dead.,22,,,,Sub_Ch9,S9_L0014
1,51,15,0,Player,Sub,anim_sub_deadbug2,text,날파리가 말을 못 하는 것일 수도 있지만...\n무지개 다리를 건넌 것 같기도 해.,It may be nonverbal... but I think this one’s\ngone to live with some nice people on a farm.,16,,,,Sub_Ch9,S9_L0015
1,51,16,0,Dot,Sub,anim_sub_deadbug2,text,무지개 다리?,A farm?,17,,,,Sub_Ch9,S9_L0016
1,51,17,0,Player,Sub,anim_sub_deadbug2,text,"강아지, 고양이, 그리고 날파리들이 지구에서의\n시간이 끝나면 가는 구름 위 동네야.","It’s a happy place where dogs, cats, and fruit\nflies go to once their time is over on Earth.",18,,,,Sub_Ch9,S9_L0017
1,51,18,0,Dot,Sub,anim_sub_deadbug2,text,...,...,19,,,,Sub_Ch9,S9_L0018
1,51,19,0,Dot,Sub,anim_sub_deadbug2,text,나 알아. 그거 ‘죽음’에 대한 은유잖아.,I know what it means.\nIt’s a metaphor for death.,20,,,,Sub_Ch9,S9_L0019
