Sub,ScriptNumber,LineKey,Color,Actor,AnimState,DotAnim,TextType,KorText,EngText,NextLineKey,DeathNote,AfterScript,Exeption,LocTable,LocKey
1,tutorial_1,1,0,Dot,default,anim_eyesclosed,text,지구의 밝음과 아름다움 사이를 탐험\n하느라 몸이 조금 저리게 되었지만,My body aches a bit from\nexploring Earth’s bright beauty.,2,,,,Tuto_Sub,TS_L0001
1,,2,0,Dot,default,,text,그럴 만한 가치가 있었지.\n이곳을 찾게 되었으니!,"But it was worth it, since\nI discovered this place!",3,,,,Tuto_Sub,TS_L0002
1,,3,0,Dot,default,,text,작고 구석진 모퉁이. 나를 닮은 곳.,"A small, cozy corner.\nIt’s a lot like me.",4,,,,Tuto_Sub,TS_L0003
1,,4,0,Dot,default,,text,"아이, 어두워. 비좁아. 지저분해.",Dark. Cramped. Grimy.,5,,,,Tuto_Sub,TS_L0004
1,,5,0,Dot,default,,text,끈적한 그림자가 감싸는 것 같지.,Like a hug from a sticky shadow.,6,,,,Tuto_Sub,TS_L0005
1,,6,0,Dot,default,,text,이곳일까? 나의 멋진\n‘인간’을 만나게 될 곳?,Is this it? Is this where I’ll meet\nmy very own amazing ‘human’?,,,,,Tuto_Sub,TS_L0006
1,tutorial_2,7,0,Dot,default,anim_move,text,으아아!,Ahh!,8,,,,Tuto_Sub,TS_L0007
1,,8,0,Player,sub,anim_move,text,으아아아아!,Ahhhh!,9,,,,Tuto_Sub,TS_L0008
1,,9,0,Dot,sub,anim_bounce,text,으아아아아아아아!,Ahhhhhhh!,10,,,,Tuto_Sub,TS_L0009
1,,10,0,Dot,default,anim_eyeswide,text,나의 어둠. 나의 어둠이 사라졌어.,My darkness. My darkness is gone.,11,,,,Tuto_Sub,TS_L0010
1,,11,0,Dot,default,anim_omg,text,내 지구에서의 여정은 따가운 빛에 물어뜯기다\n저 거대한 괴물에 발에 밟히며 끝나겠구나....,It seems my journey on Earth now ends under the feet of this humongous monster.,12,,,,Tuto_Sub,TS_L0011
1,,12,0,Dot,default,,text,역시 삶은 덧없는 것이었나?,Is life really this fleeting?,13,,,,Tuto_Sub,TS_L0012
1,,13,0,Dot,default,,text,꿈 구슬처럼 영롱히 빛나다가도,"One day shining radiantly\nlike a dream marble,",14,,,,Tuto_Sub,TS_L0013
1,,14,0,Dot,default,,text,언제든지 포악한 구덩이의 진창\n속으로 빠져 버릴 수 있는 것?,"And dropped into a vicious,\nmuddy pit the next?",15,,,,Tuto_Sub,TS_L0014
1,,15,0,Dot,default,,text,나는 대체 무엇을 위해\n지구를 바라보며 꿈을 꾸었지?,"For what did I dream, staring\nat Earth all this time?",16,,,,Tuto_Sub,TS_L0015
1,,16,0,Player,default,,selection,"(저, 저게 뭐야? 무섭다. 하지만 티를 낼 수는 없지.)|(’거대 괴물’이라니...! 난 선량한 인간이다....)","(What’s that? I’m scared, but I won’t show it.)|(’Humongous monster’?! I’m human, a nice one, even...!)",17|22,passive|active,,,Tuto_Sub,TS_L0016
1,,17,0,Player,default,,text,"괴물, 꿈 구슬, 구덩이? 뭐?","Monster, dream marble, pit? What?",18,,,,Tuto_Sub,TS_L0017
1,,18,0,Player,default,,text,(외계인인가? 괴물? 이게\n뭐든... ‘말’을 하고 있어...!),"(Is it an alien? A monster?\nWhatever it is, it’s talking...!)",19,,,,Tuto_Sub,TS_L0018
1,,19,0,Player,default,,text,(겁에 질린 건가? 하지만 왜?\n내가 제일 무서워야 하지 않나?),(Is it frightened? But why?\nI’m the one who should be scared!),20,,,,Tuto_Sub,TS_L0019
1,,20,0,Player,default,,text,(우선 심호흡을 하고... 후 하.),"(Okay, let’s take a deep breath...\nInhale, exhale.)",21,,,,Tuto_Sub,TS_L0020
1,,21,0,Player,default,,text,"저기, 나는 너를 해치지 않아.","Hey, I won’t hurt you.",25,,,,Tuto_Sub,TS_L0021
1,,22,0,Player,default,,text,"정체 모를 검정 덩어리, 진창\n같은 곳에 떨어질 일은 없을 거야....","I won’t push you into a muddy pit,\nyou Unidentified Black Blob.",23,,,,Tuto_Sub,TS_L0022
1,,23,0,Player,default,,text,우선 나는 너를 밟지 않을 생각이거든.,"I also have no intention of stepping\non you, if that’s what you mean.",24,,,,Tuto_Sub,TS_L0023
1,,24,0,Player,default,,text,그러니까... 너를 해치지\n않겠다는 뜻이야. 진정해도 돼.,"Like I said, I won’t hurt you.\nYou can calm down.",25,,,,Tuto_Sub,TS_L0024
1,,25,0,Dot,sub,,text,해치지 않아? 해치지 않아?,Won’t hurt me? Won’t hurt me?,26,,,,Tuto_Sub,TS_L0025
1,,26,0,Dot,default,,text,... 나의 어둠. 그것을 뜯어 간\n순간 나는 이미 다쳐 버렸는걸.,...My darkness. Your attack began the\nmoment you ripped away my darkness.,27,,,,Tuto_Sub,TS_L0026
1,,27,0,Player,default,,text,.......,......,28,,,,Tuto_Sub,TS_L0027
1,,28,0,Player,default,,text,"어어, 미, 미안.","Uh, s, sorry.",29,,,,Tuto_Sub,TS_L0028
1,,29,0,Player,sub,,text,갑자기 밝아져서 놀랐구나.\n여기... 돌려 줄게.,"I guess the sudden brightness must have\nshocked you. Here, I’ll bring it back.",,,,,Tuto_Sub,TS_L0029
1,tutorial_3,30,0,Player,sub,anim_eyesblink,text,(저 정체 모를 덩어리가\n진정되기까지만이라도 기다리자.),(Let’s wait until that\nmystery blob calms down.),31,,,,Tuto_Sub,TS_L0030
1,,31,0,Player,sub,,text,.......,.......,32,,,,Tuto_Sub,TS_L0031
1,,32,0,Dot,sub,,text,.......,.......,33,,,,Tuto_Sub,TS_L0032
1,,33,0,Player,sub,,text,.......,.......,34,,,,Tuto_Sub,TS_L0033
1,,34,0,Dot,sub,,text,.......,.......,,,,,Tuto_Sub,TS_L0034
1,tutorial_4,35,0,Dot,sub,anim_eyesblink,text,너는 나의 어둠을 앗아가고 평화를\n깨뜨렸지만 그래도 다시 돌려주었어.,"You ripped away my darkness and disturbed\nmy peace, but you also gave it back.",36,,,,Tuto_Sub,TS_L0035
1,,36,0,Dot,sub,,text,너는 친절하구나?,You are kind.,37,,,,Tuto_Sub,TS_L0036
1,,37,0,Player,sub,,text,정말이지 빼앗아 갈 생각은 없었어.,I really didn’t mean to rip away\nanything of yours.,38,,,,Tuto_Sub,TS_L0037
1,,38,0,Player,sub,,text,어느 평범한 하루처럼 책장\n문을 열었을 뿐이야.,I just opened the bookshelf cabinet door\nlike any other day.,39,,,,Tuto_Sub,TS_L0038
